model_no,type,speed,kit_size,size_per_stick,first_word_latency,cas_latency,color
61770,,4000,2,8,9.5,19,White / Silver
61771,,3200,2,16,10,16,White
61772,,3200,2,8,10,16,Silver / Black
61773,,2400,2,8,14.167,17,Gray
61774,,2400,2,4,14.167,17,Gray
61775,,2400,1,16,14.167,17,Gray
61776,,2400,1,8,14.167,17,Gray
61777,,2400,1,4,14.167,17,Gray
61778,,6600,2,16,11.515,38,Black
61779,,6600,2,16,11.515,38,White
61780,,5200,2,16,15.385,40,Black
61781,,4800,2,16,15,36,Black
61782,,2400,2,8,13.333,16,Black
61783,,3600,2,8,10,18,Black / Silver
61784,,3600,2,16,10,18,Black / Silver
61785,,3600,2,32,10,18,Black / Silver
61786,,4000,2,32,9.5,19,Black / Silver
61787,,5600,2,32,14.286,40,White / Silver
61788,,3200,2,16,10,16,Gray / Black
61789,,3600,2,8,10,18,Gray / Black
61790,,3600,2,16,10,18,Gray / Black
61791,,3600,2,16,10,18,Gray / Black
61792,,3600,2,16,10,18,Gray / Black
61793,,3600,2,16,10,18,Gray / Black
61794,,3600,2,32,10,18,Gray / Black
61795,,4000,2,16,9.5,19,Gray / Black
61796,,4000,2,8,9.5,19,Gray / Black
61797,,5200,1,16,16.154,42,Silver
61798,,5200,1,32,16.154,42,Black
61799,,5600,2,32,12.857,36,Black
61800,,7600,2,16,9.474,36,Black
61801,,6600,2,16,12.121,40,Black
61802,,5200,2,16,13.077,34,Red
61803,,6200,2,16,10.323,32,Platinum
61804,,2666,2,32,14.254,19,Black
61805,,2400,2,32,13.333,16,Black
61806,,2400,2,16,13.333,16,Black
61807,,2400,2,4,13.333,16,Black
61808,,2133,2,16,14.065,15,Black
61809,,2133,2,8,14.065,15,Black
61810,,2133,2,4,14.065,15,Black
61811,,2666,1,32,14.254,19,Black
61812,,2400,1,32,13.333,16,Black
61813,,2400,1,8,13.333,16,Black
61814,,2133,1,16,14.065,15,Black
61815,,2133,1,8,14.065,15,Black
61816,,2133,1,4,14.065,15,Black
61817,,2666,1,8,14.254,19,Silver / Black
61818,,2666,1,16,14.254,19,Silver / Black
61819,,2666,1,32,14.254,19,Silver / Black
61820,,3200,1,8,13.75,22,Silver / Black
61821,,3200,1,16,13.75,22,Silver / Black
61822,,2666,2,8,14.254,19,Silver / Black
61823,,2666,2,16,14.254,19,Silver / Black
61824,,2666,2,32,14.254,19,Silver / Black
61825,,3200,2,8,13.75,22,Silver / Black
61826,,3200,2,16,13.75,22,Silver / Black
61827,,3200,2,8,10,16,Red / Black
61828,,3200,2,16,13.75,22,Red / Black
61829,,2666,2,32,14.254,19,Red / Black
61830,,2666,2,16,14.254,19,Red / Black
61831,,2666,2,8,14.254,19,Red / Black
61832,,3200,1,16,10,16,Red / Black
61833,,3200,1,8,10,16,Red / Black
61834,,3200,1,32,13.75,22,Red / Black
61835,,2666,1,32,14.254,19,Red / Black
61836,,2666,1,16,14.254,19,Red / Black
61837,,2666,1,8,14.254,19,Red / Black
61838,,6000,2,16,13.333,40,White
61839,,6000,2,32,13.333,40,Black
61840,,6000,2,32,13.333,40,White
61841,,6000,2,16,13.333,40,Black
61842,,6000,1,32,13.333,40,White
61843,,6000,1,32,13.333,40,Black
61844,,6000,1,16,13.333,40,White
61845,,6000,1,16,13.333,40,Black
61846,,5200,1,8,16.154,42,Black
61847,,2666,1,32,12.003,16,Black
61848,,3600,2,16,10,18,Black / Silver
61849,,3200,2,16,11.25,18,Black / Silver
61850,,3600,2,8,7.778,14,Black / Silver
61851,,3200,2,8,11.25,18,Black / Silver
61852,,5600,2,16,12.857,36,Black / Silver
61853,,6000,2,16,12,36,Black / Silver
61854,,6400,2,16,11.875,38,Black / Silver
61855,,3200,1,32,10,16,Black
61856,,3200,1,32,10,16,Black
61857,,3200,2,16,10,16,Black
61858,,3200,1,16,10,16,Black
61859,,3600,2,32,10,18,White
61860,,3600,1,32,10,18,White
61861,,3600,1,32,10,18,Black
61862,,3600,1,8,10,18,Black
61863,,3600,2,32,10,18,Black
61864,,3600,1,32,10,18,Black
61865,,3600,2,16,10,18,Black
61866,,3600,1,16,10,18,White
61867,,3600,1,16,10,18,Black
61868,,6000,2,16,12.667,38,Red
61869,,4800,1,8,16.667,40,Black
61870,,5600,2,16,16.429,46,Red
61871,,7200,2,16,10,36,Red
61872,,6000,1,16,12.667,38,Red
61873,,5600,1,16,14.286,40,Red
61874,,5200,2,8,14.615,38,Red
61875,,5200,2,8,14.615,38,Black
61876,,5200,1,8,14.615,38,Red
61877,,5200,1,8,14.615,38,Black
61878,,5200,1,8,14.615,38,Red
61879,,5200,1,8,14.615,38,Black
61880,,4133,2,16,9.194,19,Black
61881,,3200,2,16,10,16,Black / Silver
61882,,3200,2,8,10,16,Black / Silver
61883,,4266,2,8,8.439,18,Silver
61884,,4000,2,8,8,16,Silver
61885,,4000,2,8,9,18,Black / Silver
61886,,3200,2,8,8.75,14,Silver
61887,,4600,2,8,7.826,18,Black / Silver
61888,,4400,2,8,8.182,18,Black / Silver
61889,,3200,2,8,10,16,Black
61890,,6000,2,32,13.333,40,Black
61891,,6000,1,32,13.333,40,White
61892,,6000,1,32,13.333,40,Black
61893,,6000,1,16,13.333,40,Black
61894,,3200,2,16,10,16,Black / Silver
61895,,3200,2,16,10,16,White / Silver
61896,,3600,2,16,10,18,Black / Silver
61897,,3600,2,16,10,18,Black / Silver
61898,,3600,1,16,10,18,Black / Silver
61899,,4000,2,16,9,18,White / Silver
61900,,5200,2,16,13.077,34,Red
61901,,5200,1,16,13.077,34,Black
61902,,5200,1,16,13.077,34,Red
61903,,5200,2,16,16.154,42,Black
61904,,5200,2,16,16.154,42,Red
61905,,5200,1,16,16.154,42,Black
61906,,5200,1,16,16.154,42,Red
61907,,5600,2,16,13.571,38,Black
61908,,5600,2,16,13.571,38,Red
61909,,5600,1,16,13.571,38,Black
61910,,5600,1,16,13.571,38,Red
61911,,5600,2,16,16.429,46,Black
61912,,5600,2,16,16.429,46,Red
61913,,5600,1,16,16.429,46,Black
61914,,5600,1,16,16.429,46,Red
61915,,6000,2,16,10.667,32,Black
61916,,6000,2,16,10.667,32,Red
61917,,6000,1,16,10.667,32,Black
61918,,6000,1,16,10.667,32,Red
61919,,6000,1,16,12.667,38,Black
61920,,6000,1,16,12.667,38,Red
61921,,6400,2,16,11.875,38,Black
61922,,6400,2,16,11.875,38,Red
61923,,6400,1,16,11.875,38,Black
61924,,6400,1,16,11.875,38,Red
61925,,6800,2,16,10.588,36,Black
61926,,6800,2,16,10.588,36,Red
61927,,6800,1,16,10.588,36,Black
61928,,6800,1,16,10.588,36,Red
61929,,7200,2,16,10,36,Red
61930,,7200,1,16,10,36,Black
61931,,7200,1,16,10,36,Red
61932,,7600,2,16,9.474,36,Black
61933,,7600,2,16,9.474,36,Red
61934,,7600,1,16,9.474,36,Black
61935,,7600,1,16,9.474,36,Red
61936,,8000,2,16,9.5,38,Red
61937,,8000,1,16,9.5,38,Red
61938,,5200,2,16,13.077,34,Black
61939,,5200,1,16,13.077,34,Black
61940,,5200,1,16,13.077,34,Red
61941,,5200,2,16,16.154,42,Black
61942,,5200,2,16,16.154,42,Red
61943,,5200,1,16,16.154,42,Black
61944,,5200,1,16,16.154,42,Red
61945,,5600,2,16,13.571,38,Black
61946,,5600,2,16,13.571,38,Red
61947,,5600,1,16,13.571,38,Black
61948,,5600,1,16,13.571,38,Red
61949,,5600,2,16,16.429,46,Black
61950,,5600,2,16,16.429,46,Red
61951,,5600,1,16,16.429,46,Black
61952,,5600,1,16,16.429,46,Red
61953,,6000,2,16,10.667,32,Black
61954,,6000,2,16,10.667,32,Red
61955,,6000,1,16,10.667,32,Black
61956,,6000,1,16,10.667,32,Red
61957,,6000,2,16,12.667,38,Black
61958,,6000,2,16,12.667,38,Red
61959,,6000,1,16,12.667,38,Black
61960,,6000,1,16,12.667,38,Red
61961,,6400,2,16,11.875,38,Red
61962,,6400,1,16,11.875,38,Black
61963,,6400,1,16,11.875,38,Red
61964,,6800,2,16,10.588,36,Black
61965,,6800,2,16,10.588,36,Red
61966,,6800,1,16,10.588,36,Black
61967,,6800,1,16,10.588,36,Red
61968,,7200,2,16,10,36,Black
61969,,7200,2,16,10,36,Red
61970,,7200,1,16,10,36,Black
61971,,7200,1,16,10,36,Red
61972,,7600,2,16,9.474,36,Red
61973,,7600,1,16,9.474,36,Black
61974,,7600,1,16,9.474,36,Red
61975,,8000,2,16,9.5,38,Black
61976,,8000,2,16,9.5,38,Red
61977,,5200,2,16,16.154,42,Red
61978,,5200,1,16,16.154,42,Black
61979,,5200,2,16,13.077,34,Black
61980,,5200,2,16,13.077,34,Red
61981,,5200,1,16,13.077,34,Black
61982,,5200,1,16,13.077,34,Red
61983,,5600,2,16,13.571,38,Black
61984,,5600,2,16,13.571,38,Red
61985,,5600,1,16,13.571,38,Black
61986,,5600,1,16,13.571,38,Red
61987,,5600,2,16,16.429,46,Black
61988,,5600,2,16,16.429,46,Red
61989,,5600,1,16,16.429,46,Black
61990,,5600,1,16,16.429,46,Red
61991,,6000,2,16,10.667,32,Black
61992,,6000,2,16,10.667,32,Red
61993,,6000,1,16,10.667,32,Black
61994,,6000,1,16,10.667,32,Red
61995,,6000,2,16,12.667,38,Red
61996,,6000,1,16,12.667,38,Black
61997,,6000,1,16,12.667,38,Red
61998,,5200,2,16,16.154,42,Black
61999,,5200,2,16,16.154,42,Red
62000,,5200,1,16,16.154,42,Red
62001,,5200,2,16,13.077,34,Black
62002,,5200,2,16,13.077,34,Red
62003,,5200,1,16,13.077,34,Black
62004,,5200,1,16,13.077,34,Red
62005,,5600,2,16,13.571,38,Black
62006,,5600,2,16,13.571,38,Red
62007,,5600,1,16,13.571,38,Black
62008,,5600,1,16,13.571,38,Red
62009,,5600,2,16,16.429,46,Black
62010,,5600,2,16,16.429,46,Red
62011,,5600,1,16,16.429,46,Black
62012,,5600,1,16,16.429,46,Red
62013,,6000,2,16,10.667,32,Black
62014,,6000,2,16,10.667,32,Red
62015,,6000,1,16,10.667,32,Black
62016,,6000,1,16,10.667,32,Red
62017,,6000,2,16,12.667,38,Black
62018,,6000,2,16,12.667,38,Red
62019,,6000,1,16,12.667,38,Black
62020,,6000,1,16,12.667,38,Red
62021,,2666,1,32,14.254,19,Black / Gold
62022,,2666,1,16,14.254,19,Black / Gold
62023,,2666,1,8,14.254,19,Black / Gold
62024,,2666,1,8,14.254,19,Black / Gold
62025,,2666,1,4,14.254,19,Black / Gold
62026,,3200,1,32,13.75,22,Black / Gold
62027,,3200,1,8,13.75,22,Black / Gold
62028,,3200,1,8,13.75,22,Black / Gold
62029,,3200,1,4,13.75,22,Black / Gold
62030,,2133,1,4,14.065,15,Black / Gold
62031,,2133,1,8,14.065,15,Black / Gold
62032,,2133,1,16,14.065,15,Black / Gold
62033,,2400,1,32,13.333,16,Black / Gold
62034,,2400,1,8,13.333,16,Black / Gold
62035,,2400,1,32,13.333,16,Black / Gold
62036,,2400,1,16,13.333,16,Black / Gold
62037,,2400,1,8,13.333,16,Black / Gold
62038,,2400,1,4,13.333,16,Black / Gold
62039,,2666,1,32,14.254,19,Black / Gold
62040,,2666,1,16,14.254,19,Black / Gold
62041,,2666,1,8,14.254,19,Black / Gold
62042,,2666,1,4,14.254,19,Black / Gold
62043,,3200,1,32,13.75,22,Black / Gold
62044,,3200,1,8,13.75,22,Black / Gold
62045,,3200,1,4,13.75,22,Black / Gold
62046,,2133,2,4,14.065,15,Black / Gold
62047,,2133,2,16,14.065,15,Black / Gold
62048,,2133,4,4,14.065,15,Black / Gold
62049,,2133,4,8,14.065,15,Black / Gold
62050,,2400,4,8,13.333,16,Black / Gold
62051,,2400,4,4,13.333,16,Black / Gold
62052,,2400,2,32,13.333,16,Black / Gold
62053,,2400,2,16,13.333,16,Black / Gold
62054,,2666,2,8,14.254,19,Black / Gold
62055,,2666,2,32,14.254,19,Black / Gold
62056,,2666,4,4,14.254,19,Black / Gold
62057,,2666,4,8,14.254,19,Black / Gold
62058,,3200,2,32,13.75,22,Black / Gold
62059,,3200,2,4,13.75,22,Black / Gold
62060,,2400,2,32,13.333,16,Black / Gold
62061,,2400,2,16,13.333,16,Black / Gold
62062,,2400,2,4,13.333,16,Black / Gold
62063,,2666,2,32,14.254,19,Black / Gold
62064,,2666,2,16,14.254,19,Black / Gold
62065,,2666,2,8,14.254,19,Black / Gold
62066,,2666,2,8,14.254,19,Black / Gold
62067,,2666,2,4,14.254,19,Black / Gold
62068,,3200,2,32,13.75,22,Black / Gold
62069,,3200,2,16,13.75,22,Black / Gold
62070,,3200,2,8,13.75,22,Black / Gold
