model_no,chipset,memory,memory_type,core_clock,boost_clock
40192,Radeon RX 6800 XT,16,,1825,2250
40193,Arc A380,6,,2250,
40194,Radeon RX 7600,8,,1720,2725
40195,GeForce RTX 4060,8,,1830,2475
40196,Radeon RX 7900 GRE,16,,1270,2293
40197,GeForce RTX 4070 SUPER,12,,1980,2490
40198,GeForce RTX 4060 Ti,8,,2310,
40199,GeForce RTX 4060,8,,1830,2460
40200,GeForce RTX 4060,8,,1830,2460
40201,Radeon RX 7900 XT,20,,2000,2535
40202,Radeon RX 7600 XT,16,,1720,2810
40203,GeForce RTX 4070 Ti,12,,2310,2625
40204,GeForce RTX 4070 SUPER,12,,1980,2595
40205,GeForce RTX 4070,12,,1920,2565
40206,GeForce GTX 1660 SUPER,6,,1530,1845
40207,Radeon RX 7900 XTX,24,,2300,2680
40208,GeForce GT 730,2,,902,927
40209,Radeon RX 7700 XT,12,,1700,2599
40210,Radeon RX 6950 XT,16,,1890,2310
40211,GeForce RTX 2070 SUPER,8,,1605,1785
40212,GeForce RTX 3090,24,,1395,1800
40213,Radeon RX 6750 XT,12,,2150,2600
40214,Radeon RX 7800 XT,16,,1295,2520
40215,GeForce RTX 3070,8,,1500,1845
40216,GeForce RTX 4060 Ti,16,,2310,2625
40217,GeForce GTX 1050 Ti,4,,1341,1455
40218,GeForce GTX 1080 Ti,11,,1493,1632
40219,Radeon RX 7800 XT,16,,1295,2565
40220,Radeon RX 7900 GRE,16,,1270,2333
40221,Radeon RX 7600 XT,16,,1720,2830
40222,GeForce RTX 4090,24,,2235,2565
40223,GeForce RTX 4060 Ti,16,,2310,2580
40224,GeForce RTX 4080 SUPER,16,,2210,2625
40225,GeForce GTX 1060 6GB,6,,1544,1759
40226,GeForce RTX 4070,12,,1920,2520
40227,Radeon RX 7600,8,,1720,2715
40228,GeForce RTX 3070,8,,1500,1815
40229,GeForce RTX 4070 SUPER,12,,1980,2550
40230,GeForce RTX 3060 Ti LHR,8,,1410,1695
40231,Radeon RX 7900 XTX,24,,2300,2565
40232,Radeon RX 580,8,,1257,1370
40233,GeForce RTX 4060 Ti,16,,2310,2535
40234,GeForce RTX 3070,8,,1500,1755
40235,GeForce RTX 4070 SUPER,12,,1980,2505
40236,Radeon RX 7800 XT,16,,1295,2430
40237,Radeon RX 7900 XT,20,,2000,
40238,GeForce RTX 4090,24,,2235,2520
40239,Radeon RX 6650 XT,8,,2055,2635
40240,GeForce RTX 2060 SUPER,8,,1470,1650
40241,GeForce RTX 4070,12,,1920,
40242,GeForce RTX 4080 SUPER,16,,2210,2595
40243,GeForce RTX 4070 Ti,12,,2310,2640
40244,GeForce RTX 3060 Ti,8,,1410,1740
40245,Radeon RX 7700 XT,12,,1700,2584
40246,GeForce RTX 4060 Ti,16,,2310,2685
40247,Radeon RX 6800 XT,16,,1825,
40248,GeForce RTX 4070,12,,1920,2475
40249,GeForce RTX 3080 Ti,12,,1365,1800
40250,GeForce RTX 3070,8,,1500,1815
40251,GeForce GTX 1080,8,,1721,1860
40252,GeForce RTX 3050 6GB,6,,1040,1507
40253,GeForce RTX 3090,24,,1395,1695
40254,GeForce RTX 4070 Ti SUPER,16,,2340,2655
40255,GeForce RTX 4070 Ti SUPER,16,,2340,2625
40256,Radeon RX 6500 XT,4,,2310,2825
40257,GeForce RTX 3050 6GB,6,,1040,1500
40258,GeForce RTX 4090,24,,2235,2550
40259,GeForce RTX 3070 Ti,8,,1575,1770
40260,GeForce RTX 4060,8,,1830,2700
40261,Radeon RX 7700 XT,12,,1700,2599
40262,Radeon RX 7600 XT,16,,1720,2810
40263,Arc A750,8,,2200,
40264,Radeon RX 7800 XT,16,,1295,2475
40265,GeForce GTX 1660 SUPER,6,,1530,1830
40266,Radeon RX 7700 XT,12,,1700,2599
40267,GeForce RTX 4070,12,,1920,2565
40268,GeForce RTX 3070 Ti,8,,1575,1800
40269,Radeon RX 7900 XTX,24,,2300,2525
40270,GeForce RTX 3060 12GB,12,,1320,1807
40271,GeForce RTX 3070,8,,1500,1770
40272,GeForce RTX 3060 12GB,12,,1320,1882
40273,GeForce RTX 4080 SUPER,16,,2210,2640
40274,GeForce RTX 4060 Ti,16,,2310,2595
40275,GeForce RTX 4090,24,,2235,
40276,Radeon RX 6700 XT,12,,2321,2581
40277,Radeon HD 5450,1,,650,
40278,GeForce GTX 1660 SUPER,6,,1530,1830
40279,Radeon RX 6950 XT,16,,2009,2368
40280,GeForce RTX 4070 Ti SUPER,16,,2340,2655
40281,GeForce GTX 1650 SUPER,4,,1530,1755
40282,GeForce RTX 3060 Ti,8,,1410,1695
40283,GeForce RTX 2080,8,,1515,1800
40284,GeForce RTX 4080,16,,2205,2610
