model_no,chipset,memory,memory_type,core_clock,boost_clock
42861,Radeon R9 380,4,,970,
42862,GeForce GTX 750 Ti,2,,1020,1085
42863,GeForce GTX 1080,8,,1607,1847
42864,GeForce GTX 1070 Ti,8,,1607,1683
42865,Radeon RX 570,8,,1168,1244
42866,GeForce GTX 1080,8,,1708,1847
42867,GeForce GT 730,1,,400,
42868,GeForce RTX 2080 Ti,11,,1350,1545
42869,Radeon RX VEGA 56,8,,1297,1573
42870,GeForce RTX 2070,8,,1410,1815
42871,GeForce RTX 2060,6,,1365,1680
42872,GeForce RTX 2060,6,,1365,1710
42873,GeForce RTX 2060,6,,1365,1680
42874,GeForce GTX 1660 Ti,6,,1500,1770
42875,GeForce RTX 2080 Ti,11,,1350,1665
42876,GeForce GTX 1650 G5,4,,1485,1725
42877,GeForce GTX 1650 G5,4,,1485,1665
42878,Radeon RX 5700,8,,1465,1725
42879,Radeon RX 5700,8,,1465,1725
42880,GeForce RTX 2080 SUPER,8,,1650,1815
42881,GeForce RTX 2080,8,,1515,1740
42882,Radeon RX 5700 XT,8,,1770,2010
42883,Radeon RX 5700,8,,1465,1725
42884,Radeon RX 5700,8,,1610,1750
42885,GeForce GTX 1650 G5,4,,1665,1815
42886,Radeon RX 590,8,,1469,1560
42887,GeForce RTX 2070 SUPER,8,,1605,1785
42888,GeForce GTX 1650 SUPER,4,,1530,1725
42889,GeForce RTX 2070 SUPER,8,,1605,1815
42890,Radeon RX 5600 XT,6,,1280,1620
42891,GeForce GTX 1650 G5,4,,1485,1665
42892,GeForce RTX 2080 Ti,11,,1350,1575
42893,GeForce RTX 2060 SUPER,8,,1470,1710
42894,Radeon RX 570,8,,1168,1256
42895,GeForce RTX 3090,24,,1395,1695
42896,GeForce RTX 3090,24,,1395,1695
42897,Radeon RX 6900 XT,16,,1825,
42898,GeForce RTX 3080 Ti,12,,1365,1725
42899,GeForce RTX 3060 Ti,8,,1410,1695
42900,GeForce RTX 3060 Ti LHR,8,,1410,1770
42901,GeForce RTX 3070 LHR,8,,1500,1725
42902,GeForce RTX 3080 12GB LHR,12,,1260,1755
42903,GeForce RTX 3050 8GB,8,,1550,1807
42904,GeForce RTX 3080 10GB LHR,10,,1440,1725
42905,GeForce RTX 4090,24,,2235,2535
42906,GeForce RTX 4080,16,,2205,2640
42907,GeForce RTX 4070 Ti,12,,2310,2760
42908,GeForce RTX 4070 Ti,12,,2310,2610
42909,GeForce RTX 3060 Ti,8,,1410,1800
42910,GeForce GTX 1660 Ti,6,,1500,1845
42911,Radeon RX 570,8,,1168,1254
42912,GeForce RTX 3060 12GB,12,,1320,1777
42913,GeForce RTX 4090,24,,2235,2550
42914,GeForce RTX 4070 Ti,12,,2310,2760
42915,GeForce RTX 4080,16,,2205,2640
42916,GeForce RTX 3070 LHR,8,,1500,1755
42917,Radeon RX 6800 XT,16,,1825,2310
42918,GeForce RTX 3050 6GB,6,,1040,1470
42919,GeForce RTX 4060 Ti,8,,2310,2565
42920,GeForce GT 1030 DDR4,2,,1189,1460
42921,GeForce RTX 3080 10GB LHR,10,,1440,1710
42922,FirePro V7900 SDI,2,,725,
42923,GeForce RTX 2060,6,,1365,1725
42924,GeForce RTX 3060 12GB,12,,1320,
42925,FirePro V7900,2,,,
42926,FirePro 2270,0.5,,600,
42927,FirePro W600,2,,600,
42928,GeForce GTX 1060 6GB,6,,1506,1708
42929,Radeon RX 6900 XT,16,,1825,2340
42930,GeForce GTX 1650 G6,4,,1410,1635
42931,GeForce RTX 4070 Ti,12,,2310,2685
42932,GeForce GTX 470,1.25,,625,
42933,Radeon HD 5450,1,,650,
42934,GeForce GTX 460 SE,1,,730,
42935,GeForce GTX 560 Ti,1,,850,
42936,GeForce GTS 450,1,,810,
42937,Radeon HD 6450,0.5,,625,
42938,Radeon HD 6450,1,,625,
42939,Radeon HD 5450,0.5,,650,
42940,Radeon HD 5450,0.5,,650,
42941,GeForce GTX 590,3,,612,
42942,Radeon HD 3450,0.5,,600,
42943,GeForce GTX 460,1,,867,
42944,Radeon HD 7950,3,,900,
42945,Radeon HD 7870,2,,1010,
42946,GeForce GTX 560 Ti,2,,900,
42947,GeForce GTX 550 Ti,1,,900,
42948,Quadro 4000,2,,,
42949,FireGL V7300,0.5,,,
42950,GeForce GT 630,4,,810,
42951,Radeon HD 7970 GHz Edition,3,,1000,
42952,Radeon HD 7970 GHz Edition,6,,1100,
42953,Radeon HD 7950,3,,850,
42954,Radeon HD 7770 GHz Edition,1,,1000,
42955,GeForce GTX 760,2,,980,
42956,GeForce GTX 760,4,,1085,1150
42957,GeForce GTX 770,4,,1111,1163
42958,Radeon R9 270X,2,,1000,
42959,Radeon R9 280X,3,,850,1000
42960,Radeon R9 270,2,,900,975
42961,GeForce GTX 750,1,,1020,1085
42962,GeForce GTX Titan Black,6,,889,980
42963,GeForce GT 730,1,,902,
42964,GeForce GTX 750 Ti,2,,1124,1202
42965,GeForce GTX 970,4,,1165,1317
42966,GeForce GTX 970,4,,1140,1279
42967,GeForce GTX 970,4,,1051,1178
42968,GeForce GTX 750 Ti,2,,1020,1085
42969,GeForce GTX 750 Ti,2,,1059,1137
42970,FirePro W5000,2,,825,
42971,FirePro S7000,4,,950,
42972,GeForce GT 720,1,,797,
42973,Quadro NVS 295,0.25,,540,
42974,Quadro K5000,4,,706,
42975,Quadro K600,1,,876,
42976,GeForce GTX 960,4,,1140,1203
42977,GeForce GTX 960,2,,1279,1342
42978,GeForce GTX Titan X,12,,1152,1241
42979,GeForce GTX 980 Ti,6,,1102,1190
42980,Radeon R9 390,8,,1015,
42981,Radeon R9 390,8,,1010,
42982,GeForce GTX 980 Ti,6,,1000,1076
42983,GeForce GTX 970,4,,1101,1241
42984,GeForce GTX 980,4,,1126,1216
42985,GeForce 9600 GT,0.5,,650,
42986,GeForce GT 730,4,,700,
42987,GeForce GTX 950,2,,1076,1253
42988,GeForce GTX 1080,8,,1607,1733
42989,GeForce GTX 1070,8,,1506,1683
42990,GeForce GTX 1060 6GB,6,,1506,1708
42991,GeForce GTX 1070,8,,1657,1860
42992,GeForce GTX 1070,8,,1607,1797
42993,GeForce GTX 1050 Ti,4,,1290,1392
42994,GeForce GTX 1050,2,,1404,1518
42995,GeForce GTX 1080,8,,1607,1733
42996,GeForce GTX 1070,8,,1506,1683
42997,Radeon RX 550 - 512,2,,1100,1203
42998,Radeon RX 550 - 512,4,,1100,1203
42999,GeForce GT 1030,2,,1265,1518
43000,Radeon RX VEGA 64,8,,1406,1677
43001,Quadro GP100,16,,1380,1441
43002,GeForce GTX 1070 Ti,8,,1607,1683
43003,GeForce GTX 1070 Ti,8,,1607,1683
43004,GeForce GTX 1060 6GB,6,,1544,1759
43005,Radeon RX VEGA 56,8,,1305,1572
43006,Radeon RX 560 - 896,4,,1176,
43007,Radeon RX 550 - 640,2,,1071,1190
43008,Radeon RX 560 - 896,4,,1176,1199
43009,Radeon RX 560 - 896,4,,1196,
43010,GeForce RTX 2080,8,,1515,
43011,GeForce RTX 2080 Ti,11,,1350,1635
43012,GeForce RTX 2070,8,,1410,1815
43013,GeForce RTX 2070,8,,1410,1650
43014,GeForce RTX 2080,8,,1710,1890
43015,GeForce GTX 1060 6GB,6,,1518,1759
43016,GeForce RTX 2070,8,,1620,1665
43017,GeForce RTX 2070,8,,1410,1620
43018,GeForce RTX 2080,8,,1515,1860
43019,GeForce GTX 1660 Ti,6,,1500,1800
43020,GeForce GTX 1660 Ti,6,,1500,1800
43021,Radeon RX 560 - 896,4,,1175,1226
43022,GeForce RTX 2060,6,,1365,1830
43023,GeForce RTX 2070,8,,1410,1650
43024,GeForce RTX 2080 Ti,11,,1350,1650
43025,GeForce GTX 1650 G5,4,,1485,1875
43026,Radeon RX 590,8,,1469,1560
43027,GeForce RTX 2060 SUPER,8,,1470,1695
43028,Radeon RX 5700 XT,8,,1605,1905
43029,GeForce RTX 2060,6,,1365,1680
43030,GeForce RTX 2060,6,,1365,1680
43031,GeForce RTX 2080 SUPER,8,,1650,1860
43032,GeForce RTX 2070,8,,1410,1620
43033,GeForce GTX 1070 Ti,8,,1607,1683
43034,GeForce RTX 2060 SUPER,8,,1650,1680
43035,GeForce RTX 2060 SUPER,8,,1470,1650
43036,GeForce RTX 2060 SUPER,8,,1470,1665
43037,GeForce RTX 2060 SUPER,8,,1470,1650
43038,Radeon RX 5500 XT,8,,1607,1845
43039,Radeon RX 5700,8,,1490,1725
43040,GeForce RTX 2080 Ti,11,,1350,1635
43041,GeForce RTX 3090,24,,1395,1695
43042,GeForce RTX 3060 Ti,8,,1410,1695
43043,GeForce RTX 3060 12GB,12,,1320,1822
43044,GeForce GTX 1050 Ti,4,,1366,1480
43045,GeForce GTX 1650 G6,4,,1410,1815
43046,GeForce RTX 3080 Ti,12,,1365,1725
43047,GeForce RTX 3060 Ti,8,,1410,1665
43048,GeForce RTX 3080 10GB,10,,1440,1860
43049,GeForce RTX 3060 Ti LHR,8,,1410,1665
43050,GeForce RTX 3070,8,,1500,1785
43051,GeForce RTX 3080 10GB LHR,10,,1440,1740
43052,GeForce RTX 3080 10GB LHR,10,,1440,1800
43053,GeForce RTX 3080 12GB LHR,12,,1260,1710
43054,GeForce RTX 3080 12GB LHR,12,,1260,1710
43055,GeForce RTX 3050 8GB,8,,1550,1777
43056,GeForce GTX 1650 G6,4,,1410,1725
43057,Radeon RX 5700 XT,8,,1605,1925
43058,GeForce RTX 3060 8GB,8,,1320,1807
43059,GeForce GTX 1650 G6,4,,1410,1620
43060,GeForce RTX 2070 SUPER,8,,1605,1770
43061,GeForce RTX 4070,12,,1920,2475
43062,Radeon RX 550 - 512,4,,1100,1071
43063,GeForce RTX 4070,12,,1920,2520
43064,GeForce RTX 4060 Ti,8,,2310,2670
43065,GeForce RTX 3070 LHR,8,,1500,1755
43066,GeForce RTX 4060 Ti,16,,2310,2565
43067,GeForce RTX 4070,12,,1920,2490
43068,GeForce RTX 4070,12,,1920,2490
43069,Arc A310,4,,1750,
43070,FirePro W4100,2,,630,
43071,GeForce GTX 980,4,,1126,1216
43072,GeForce RTX 3080 10GB LHR,10,,1440,1740
43073,GeForce GT 520,1,,810,
43074,GeForce GTX 650 Ti,2,,941,
43075,FirePro RG220A,0.5,,800,
43076,GeForce GTX 980,4,,1291,1393
43077,GeForce RTX 3090 Ti,24,,1560,1875
43078,Radeon HD 5770,1,,,
43079,Radeon HD 5850,1,,725,
43080,Radeon HD 6950,2,,,
43081,Radeon HD 5870,1,,850,
43082,Radeon HD 5570,1,,670,
43083,GeForce GT 430,1,,700,
43084,GeForce GTS 450,1,,783,
43085,GeForce GTX 560 Ti,1,,900,
43086,Radeon HD 6670,1,,810,
43087,GeForce GTX 560,1,,810,
43088,GeForce 210,1,,520,
43089,Radeon HD 4890,1,,850,
43090,GeForce GTX 580,1.5,,797,
43091,Radeon HD 6950,2,,800,
43092,GeForce GTX 560 Ti,1,,832,
43093,GeForce 210,1,,475,
43094,GeForce GTX 550 Ti,1,,900,
43095,FirePro 2450,0.5,,,
43096,Radeon HD 7850,2,,1000,
43097,GeForce GTX 680,4,,1111,
43098,Radeon HD 7970 GHz Edition,6,,1050,
43099,GeForce GTX 660 Ti,2,,1019,
43100,GeForce GT 610,2,,810,
43101,Radeon HD 7850,2,,860,
43102,GeForce GTX 680,2,,1137,
43103,GeForce GTX 650,2,,1202,
43104,GeForce GTX 650 Ti,1,,1071,
43105,GeForce GTX 670,4,,915,
43106,GeForce GTX 680,4,,1071,
43107,GeForce GT 640,4,,901,
43108,GeForce GTX Titan,6,,876,
43109,GeForce GTX 770,4,,1150,
43110,Radeon R7 260X,2,,1160,
43111,GeForce GTX 660,2,,1033,1098
43112,Radeon R9 280X,3,,1100,1150
43113,Radeon R9 270,2,,950,975
43114,GeForce GTX 780,3,,1017,1071
43115,Radeon R9 270,2,,900,925
43116,Radeon R7 240,2,,730,780
43117,Radeon R9 290X,4,,1000,
43118,GeForce GTX Titan Black,6,,889,980
43119,Radeon R9 270X,4,,1120,
43120,Radeon R9 290X,4,,1080,
43121,Radeon R9 295X2,8,,1018,
43122,GeForce GT 730,2,,700,
43123,GeForce GTX 750 Ti,2,,1046,1124
43124,GeForce GTX 750,2,,1229,1320
43125,Radeon R9 290,4,,1040,
43126,FirePro 2450,0.5,,600,
43127,FirePro 2450,0.5,,600,
43128,GeForce GTX 970,4,,1126,1266
43129,Radeon R7 250,1,,1000,
43130,GeForce GTX 960,2,,1127,1178
43131,Quadro K2000,2,,954,
43132,Quadro K5000,4,,706,
43133,GeForce GTX 980,4,,1266,1367
43134,GeForce GT 730,2,,1006,
43135,GeForce GTX 970,4,,1051,1178
43136,GeForce GTX 980,4,,1291,1393
43137,GeForce 9500 GT,1,,550,
43138,GeForce GTX 960,4,,1177,1240
43139,Radeon R7 370,2,,995,
43140,Radeon R7 370,4,,985,
43141,GeForce GTX 960,2,,1140,1203
43142,Radeon R9 Fury,4,,1000,
43143,Radeon R9 390X,8,,1070,
43144,GeForce GTX 960,2,,1190,1279
43145,GeForce GTX 960,2,,1203,1266
43146,GeForce GTX 980 Ti,6,,1203,1304
43147,GeForce GTX 980 Ti,6,,1203,1304
43148,GeForce GTX 750 Ti,2,,1059,1137
43149,GeForce GTX 950,2,,1076,1279
43150,GeForce GTX 1070,8,,1506,1797
43151,GeForce GTX 1070,8,,1506,1683
43152,GeForce GTX 1060 6GB,6,,1506,1708
43153,Radeon RX 470,4,,926,1226
43154,GeForce GTX 1060 6GB,6,,1620,1847
43155,GeForce GTX 1070,8,,1594,1784
43156,Radeon RX 470,4,,926,1210
43157,GeForce GTX 1050,2,,1430,1544
43158,Radeon RX 480,4,,1202,1306
43159,GeForce GTX 1070,8,,1506,1683
43160,GeForce GTX 1080 Ti,11,,1480,1582
43161,GeForce GTX 1080 Ti,11,,1480,1582
43162,GeForce GTX 1050 Ti,4,,1290,1392
43163,Radeon RX 580,4,,1257,1340
43164,Radeon RX 550 - 512,2,,1100,1203
43165,GeForce GTX 1080 Ti,11,,1556,1670
43166,Radeon RX 570,4,,1168,1264
43167,Radeon RX VEGA 64,8,,1247,1546
43168,Radeon RX VEGA 64,8,,1247,1546
43169,Radeon RX VEGA 56,8,,1156,1471
43170,GeForce GTX 1060 6GB,6,,1506,1708
43171,Radeon RX 560 - 896,4,,1149,1197
43172,GeForce GTX 1060 6GB,6,,1506,1873
43173,GeForce GTX 1080 Ti,11,,1594,1708
43174,GeForce GTX 1070,8,,1620,1822
43175,Radeon RX VEGA 56,8,,1308,1526
43176,GeForce GTX 1080,8,,1759,1898
43177,GeForce RTX 2080,8,,1515,1815
43178,GeForce RTX 2080,8,,1515,
43179,Radeon RX 590,8,,1469,1560
43180,Radeon RX VEGA 64,8,,1247,1546
43181,GeForce RTX 2080,8,,1710,
43182,Radeon RX 570,8,,1168,1284
43183,GeForce RTX 2080,8,,1515,1740
43184,GeForce RTX 2080,8,,1515,1815
43185,GeForce RTX 2080,8,,1515,1785
43186,Radeon RX 5700,8,,1465,1725
43187,GeForce RTX 2080 SUPER,8,,1650,1860
43188,GeForce GTX 1660 SUPER,6,,1530,1830
43189,GeForce RTX 2060 SUPER,8,,1470,1665
43190,Radeon RX 5500 XT,4,,1647,1845
43191,Radeon RX 5500 XT,4,,1607,1845
43192,GeForce RTX 2080 Ti,11,,1350,1740
43193,Radeon RX 580,8,,1257,1366
43194,Radeon RX 5700 XT,8,,1680,1980
43195,Radeon RX 560 - 1024,4,,1176,1234
43196,Radeon RX 560 - 896,4,,1176,1199
43197,GeForce RTX 2060,6,,1365,1695
43198,GeForce RTX 2070 SUPER,8,,1605,1830
43199,Radeon RX 5500 XT,8,,1607,1845
43200,GeForce GTX 1650 G5,4,,1485,1665
43201,GeForce RTX 3090,24,,1395,1725
43202,GeForce RTX 3060 Ti,8,,1410,1710
43203,GeForce RTX 3080 Ti,12,,1365,1710
43204,GeForce RTX 3070 Ti,8,,1575,1815
43205,GeForce RTX 3060 Ti LHR,8,,1410,1755
43206,GeForce RTX 3080 10GB LHR,10,,1440,1755
43207,GeForce RTX 3080 12GB LHR,12,,1260,1755
43208,GeForce GTX 1630,4,,1740,1815
43209,GeForce GTX 1630,4,,1740,
43210,GeForce RTX 4070 Ti,12,,2310,2625
43211,GeForce RTX 2080 Ti,11,,1350,1620
43212,Radeon RX 550 - 512,2,,1100,1017
43213,GeForce RTX 4080,16,,2205,2505
43214,GeForce RTX 3060 12GB,12,,1320,1777
43215,GeForce RTX 3070,8,,1500,1725
43216,GeForce RTX 3050 6GB,6,,1040,1470
43217,GeForce RTX 3050 6GB,6,,1040,1470
43218,Arc Pro A40,6,,1550,1700
43219,GeForce RTX 4070,12,,1920,2475
43220,GeForce RTX 3080 12GB LHR,12,,1260,1755
43221,Radeon RX 7900 XTX,24,,2300,2615
43222,GeForce 9500 GT,0.5,,550,
43223,GeForce GTX 1070,8,,1506,1683
43224,GeForce GTX 275,0.875,,,
43225,Radeon HD 5750,1,,700,
43226,Radeon HD 4670,1,,750,
43227,Radeon HD 5850,1,,725,
43228,GeForce 9500 GT,0.5,,550,
43229,Radeon HD 6850,1,,820,
43230,GeForce GTX 460,1,,725,
43231,Radeon HD 5450,1,,650,
43232,GeForce 9400 GT,0.5,,550,
43233,Radeon HD 6450,1,,625,
43234,GeForce GT 430,1,,700,
43235,GeForce GTX 560,1,,931,
43236,GeForce GTX 570,2.5,,732,
43237,Radeon HD 6870,1,,900,
43238,GeForce GTX 580,3,,772,
43239,GeForce GTX 560 Ti,1,,822,
43240,Radeon HD 7950,3,,880,
43241,Radeon HD 7850,2,,975,
43242,GeForce GTX 680,2,,1006,
43243,Quadro 400,0.5,,,
43244,GeForce GTX 670,2,,915,
43245,GeForce GT 640,2,,1050,
43246,Radeon HD 6670,2,,800,
43247,GeForce GT 610,0.5,,810,
43248,Radeon HD 7950,3,,850,
43249,GeForce GTX 660,2,,1033,
43250,GeForce GTX 650,1,,1058,
43251,GeForce GTX 670,4,,980,
43252,Radeon HD 7770 GHz Edition,1,,1000,
43253,GeForce GT 630,2,,810,
43254,Radeon HD 7850,2,,860,
43255,GeForce GTX 680,2,,1006,
43256,GeForce GTX 650 Ti Boost,2,,1032,
43257,GeForce GTX 760,2,,1072,
43258,GeForce GTX 760,2,,993,
43259,GeForce GTX 770,2,,1202,1254
43260,GeForce GTX 760,4,,993,1059
43261,Radeon R9 270X,2,,1030,1120
43262,Radeon R7 260X,2,,1175,
43263,Radeon R7 240,2,,750,780
43264,GeForce GTX 660,2,,1072,1137
43265,GeForce GTX 760,2,,1033,1098
43266,Radeon R9 270X,4,,1050,1100
43267,Radeon HD 7990,6,,950,1000
43268,Radeon R9 270X,2,,1000,1100
43269,Radeon R9 290,4,,1000,
43270,GeForce GTX 750,1,,1020,1085
43271,Radeon R9 280X,3,,1000,1100
43272,Radeon R9 280,3,,827,933
43273,GeForce GTX 750,1,,1085,1163
43274,GeForce GTX 750,1,,1059,1137
43275,Radeon R9 280,3,,933,1000
43276,Radeon R9 280,3,,950,1072
43277,GeForce GTX 770,4,,1046,1085
43278,GeForce GTX 760,2,,1006,1059
43279,GeForce GT 740,4,,1059,
43280,Radeon R7 250,2,,1000,1050
43281,GeForce GT 730,2,,700,
43282,Quadro K2000D,2,,,
43283,Radeon R5 230,1,,625,
43284,GeForce GTX 780 Ti,3,,1006,1072
43285,GeForce GT 740,1,,993,
43286,GeForce GTX 750,1,,1033,1111
43287,GeForce GTX 980,4,,1126,1216
43288,GeForce GTX 980,4,,1241,1342
43289,GeForce GTX 980,4,,1291,1393
43290,GeForce GTX 980,4,,1127,1216
43291,FirePro W8100,8,,824,
43292,FirePro 2270,1,,600,
43293,FirePro 2460,0.5,,600,
43294,GeForce GTX 980,4,,1152,1252
43295,Radeon R9 290X,8,,1000,1040
43296,GeForce GTX 970,4,,1164,1317
43297,Quadro NVS 450,0.5,,550,
43298,Quadro K420,1,,876,
43299,GeForce GTX 980,4,,1203,1304
43300,GeForce GTX 980,4,,1304,1418
43301,GeForce GTX 970,4,,1152,1279
43302,Radeon R9 290X,4,,1000,
43303,GeForce GTX 980 Ti,6,,1000,1076
43304,GeForce GTX 980 Ti,6,,1000,1076
43305,GeForce GTX 970,4,,1050,1178
43306,GeForce GTX 980 Ti,6,,1000,1076
43307,GeForce GTX 780 Ti,2,,1072,1150
43308,GeForce GTX 950,2,,1024,1140
43309,GeForce GTX 950,2,,1165,1355
43310,Radeon R7 360,2,,1050,
43311,Radeon R9 390X,8,,1050,
43312,Radeon R9 380,4,,970,
43313,GeForce GTX 950,2,,1026,1190
43314,GeForce GTX 960,4,,1165,1228
43315,GeForce GTX 970,4,,1050,1178
43316,Radeon R9 380X,4,,1030,
43317,GeForce GT 710,2,,954,
43318,GeForce GT 710,1,,954,
43319,GeForce GT 710,1,,954,
43320,GeForce GTX 1080,8,,1657,1797
43321,Radeon R9 390X,8,,1080,
43322,GeForce GTX 1070,8,,1506,1683
43323,GeForce GTX 1080,8,,1746,1885
43324,Radeon RX 480,8,,1208,1306
43325,GeForce GTX 1060 6GB,6,,1506,1746
43326,Radeon RX 470,4,,926,1226
43327,Radeon RX 460,4,,1090,1220
43328,Radeon RX 460,2,,1090,1220
43329,Radeon RX 460,2,,1090,1212
43330,GeForce GTX 1070,8,,1518,1708
43331,GeForce GTX 1070,8,,1594,1784
43332,GeForce GTX 1080,8,,1657,1797
43333,GeForce GTX 1060 3GB,3,,1620,1847
43334,GeForce GTX 1060 3GB,3,,1506,1708
43335,Radeon RX 470,8,,926,1270
43336,Radeon RX 480,4,,1120,1266
43337,GeForce GTX 970,4,,1152,1304
43338,Radeon RX 460,2,,1090,1200
43339,Radeon RX 580,4,,1257,1366
43340,Radeon RX 550 - 512,2,,1100,1203
43341,Radeon RX 560 - 1024,4,,1175,1295
43342,GeForce GTX 1080 Ti,11,,1569,1683
43343,Radeon RX 470,4,,1140,1216
43344,GeForce GTX 750 Ti,2,,1033,1111
43345,GeForce GTX 1060 6GB,6,,1506,1708
43346,GeForce GTX 960,2,,1279,1342
43347,Radeon RX VEGA 56,8,,1156,1471
43348,Radeon RX 560 - 896,4,,1175,1295
43349,GeForce GTX 1050,3,,1417,1582
43350,GeForce GTX 1060 6GB,6,,1506,1708
43351,Radeon RX 570,8,,1168,1266
43352,Radeon RX 550 - 512,4,,1203,
43353,Radeon RX 550 - 512,4,,1203,
43354,Radeon RX 550 - 640,4,,1071,
43355,GeForce RTX 2080 Ti,11,,1350,1695
43356,GeForce RTX 2070,8,,1410,1620
43357,GeForce RTX 2080 Ti,11,,1350,1665
43358,GeForce RTX 2080 Ti,11,,1350,1635
43359,Radeon VII,16,,1400,1750
43360,GeForce GTX 1660,6,,1530,1845
43361,Radeon RX 570,8,,1168,1266
43362,GeForce RTX 2070,8,,1410,1650
43363,GeForce GTX 1650 G5,4,,1485,1695
43364,GeForce GTX 1650 G5,4,,1485,1665
43365,GeForce GTX 1650 G5,4,,1485,1815
43366,GeForce GTX 1070 Ti,8,,1607,1683
43367,GeForce GTX 1070 Ti,8,,1607,1683
43368,GeForce RTX 2080 SUPER,8,,1650,1845
43369,GeForce RTX 2080 SUPER,8,,1650,1845
43370,GeForce RTX 2080 SUPER,8,,1650,1815
43371,GeForce GTX 1050,2,,1354,1455
43372,GeForce RTX 2070 SUPER,8,,1605,1770
43373,Radeon RX 580,8,,1257,1386
43374,GeForce RTX 2080 SUPER,8,,1650,1845
43375,GeForce RTX 2080 SUPER,8,,1650,1830
43376,GeForce RTX 2060,6,,1365,1830
43377,GeForce RTX 3080 10GB,10,,1440,1755
43378,GeForce RTX 3090,24,,1395,1845
43379,GeForce RTX 3070 LHR,8,,1500,
43380,GeForce RTX 3060 Ti,8,,1410,1710
43381,Radeon RX 6900 XT,16,,1825,
43382,GeForce RTX 3070 Ti,8,,1575,1815
43383,GeForce RTX 3070 Ti,8,,1575,1815
43384,GeForce RTX 3070 LHR,8,,1500,1740
43385,GeForce RTX 3080 12GB LHR,12,,1260,1755
43386,GeForce RTX 3080 12GB LHR,12,,1260,1710
43387,GeForce RTX 3080 12GB LHR,12,,1260,1740
43388,Radeon RX 6800 XT,16,,1825,2250
43389,GeForce RTX 3070 LHR,8,,1500,1920
43390,Radeon RX 5700 XT,8,,1605,1905
43391,GeForce RTX 3080 10GB LHR,10,,1440,1710
43392,GeForce GTX 1630,4,,1740,1815
43393,GeForce RTX 4070,12,,1920,2475
43394,Radeon RX 6800 XT,16,,1825,2250
43395,Radeon RX 560 - 1024,4,,1199,1275
43396,Radeon RX 570,4,,1168,1250
43397,GeForce GTX 1660 Ti,6,,1530,1875
43398,Radeon RX 5500 XT,8,,1607,1845
43399,GeForce RTX 4060 Ti,8,,2310,
43400,GeForce RTX 4090,24,,2235,2610
43401,GeForce RTX 4070 Ti SUPER,16,,2340,2670
43402,GeForce RTX 4060,8,,1830,2490
43403,FirePro V3800,0.5,,650,
43404,Radeon R9 280X,3,,850,1000
43405,NVS 810,4,,1020,
43406,Radeon Pro WX 8200,8,,1200,1530
43407,GeForce RTX 4070 Ti,12,,2310,2610
43408,GeForce GTX 460,1,,720,
43409,GeForce 9800 GT,1,,600,
43410,GeForce 9800 GT,0.5,,550,
43411,Radeon HD 6970,2,,880,
43412,Radeon HD 6850,1,,775,
43413,Radeon HD 5770,1,,850,
43414,Radeon HD 5670,1,,775,
43415,GeForce GTX 580,1.5,,772,
43416,GeForce GTX 465,1,,607,
43417,GeForce 8400 GS,0.5,,589,
43418,Radeon HD 6870,1,,900,
43419,Radeon HD 5570,1,,650,
43420,GeForce GTS 450,1,,875,
43421,GeForce GTS 450,1,,822,
43422,Radeon HD 6990,4,,830,
43423,GeForce GTX 550 Ti,1,,950,
43424,Radeon HD 6950,2,,800,
43425,Radeon HD 6950,2,,840,
43426,Radeon HD 6450,1,,,
43427,GeForce GTX 560 Ti,1,,900,
43428,GeForce GTX 570,1.25,,770,
43429,Radeon HD 6850,1,,775,
43430,Radeon HD 6770,1,,850,
43431,GeForce GT 430,2,,700,
43432,GeForce GTS 450,1,,700,
43433,Radeon HD 4350,1,,600,
43434,Radeon HD 4870,0.5,,750,
43435,Radeon HD 7970,3,,1000,
43436,Radeon HD 7950,3,,880,
43437,Radeon HD 7770,1,,1000,
43438,GeForce GTX 550 Ti,1,,900,
43439,Radeon HD 7970,3,,925,
43440,Radeon HD 6950,2,,,
43441,FirePro 2450,0.5,,,
43442,GeForce GT 610,1,,,
43443,Radeon HD 7770,1,,1100,
43444,GeForce GT 630,2,,810,
43445,GeForce GT 620,1,,700,
43446,GeForce GT 610,1,,810,
43447,GeForce GT 630,1,,810,
43448,GeForce GTX 680,2,,1110,
43449,Radeon HD 7970 GHz Edition,3,,1050,
43450,GeForce GTX 660 Ti,2,,941,
43451,GeForce GT 620,2,,700,
43452,GeForce GTX 660,2,,1006,
43453,GeForce GTX 650,1,,1100,
43454,GeForce GTX 660,2,,1006,
43455,GeForce GTX 680,4,,1006,
43456,Radeon HD 7870 XT,2,,925,
43457,GeForce GTX 650 Ti Boost,2,,980,
43458,Radeon HD 6570,2,,650,
43459,GeForce GTX 660,3,,1072,
43460,Radeon HD 7850,2,,900,
43461,Radeon HD 7990,6,,950,
43462,Radeon HD 7850,1,,860,
43463,GeForce GTX 760,2,,1072,
43464,GeForce GTX 770,2,,1111,1163
43465,GeForce GTX 770,4,,1085,1137
43466,GeForce GTX 760,2,,1111,1176
43467,Radeon HD 7790,2,,1075,
43468,GeForce GTX 780,3,,980,1033
43469,Radeon R9 270X,2,,1000,
43470,Radeon R9 270X,2,,1000,1050
43471,Radeon R9 280X,3,,1000,1050
43472,Radeon R7 240,2,,750,800
43473,GeForce GTX 760,2,,1111,1176
43474,Radeon R9 290,4,,947,
