model_no,capacity,price_per_gb,type,cache,form_factor,interface
92615,240,0.158,SSD,,2.5,SATA 6.0 Gb/s
92616,2000,0.04,HDD,256,3.5,SATA 6.0 Gb/s
92617,4000,0.438,SSD,,2.5,U.2
92618,4000,0.032,HDD,256,3.5,SATA 6.0 Gb/s
92619,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92620,512,0.154,SSD,,2.5,SATA 6.0 Gb/s
92621,500,0.153,HDD,16,2.5,SATA 6.0 Gb/s
92622,8000,0.037,HDD,256,3.5,SATA 6.0 Gb/s
92623,480,,SSD,,2.5,SATA 6.0 Gb/s
92624,2000,,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
92625,1000,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92626,2000,0.128,SSD,,M.2-2230,M.2 PCIe 4.0 X4
92627,2000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
92628,250,0.136,SSD,,2.5,SATA 6.0 Gb/s
92629,500,0.106,HDD,16,3.5,SATA 3.0 Gb/s
92630,750,0.185,HDD,16,3.5,SATA 3.0 Gb/s
92631,1000,0.04,HDD,32,3.5,SATA 3.0 Gb/s
92632,1000,,5900,32,3.5,SATA 3.0 Gb/s
92633,2000,,5900,32,3.5,SATA 3.0 Gb/s
92634,160,1.875,SSD,,2.5,SATA 3.0 Gb/s
92635,1500,,HDD,32,3.5,SATA 3.0 Gb/s
92636,500,0.16,HDD,32,3.5,SATA 6.0 Gb/s
92637,1000,0.064,HDD,64,3.5,SATA 3.0 Gb/s
92638,500,0.3,HDD,16,3.5,SATA 3.0 Gb/s
92639,128,1.25,SSD,,2.5,SATA 3.0 Gb/s
92640,240,,SSD,,2.5,SATA 6.0 Gb/s
92641,120,,SSD,,2.5,SATA 6.0 Gb/s
92642,1500,,HDD,64,3.5,SATA 6.0 Gb/s
92643,256,,SSD,,2.5,SATA 3.0 Gb/s
92644,320,,HDD,16,2.5,SATA 3.0 Gb/s
92645,640,0.061,HDD,8,2.5,SATA 3.0 Gb/s
92646,1000,,5900,32,3.5,SATA 3.0 Gb/s
92647,500,,HDD,8,2.5,SATA 3.0 Gb/s
92648,120,,SSD,,2.5,SATA 3.0 Gb/s
92649,1000,,HDD,64,3.5,SATA 6.0 Gb/s
92650,120,,SSD,,2.5,SATA 6.0 Gb/s
92651,120,,SSD,,2.5,SATA 6.0 Gb/s
92652,320,0.07,HDD,16,2.5,SATA 3.0 Gb/s
92653,256,,SSD,,2.5,SATA 6.0 Gb/s
92654,480,,SSD,,2.5,SATA 6.0 Gb/s
92655,480,,SSD,,2.5,SATA 6.0 Gb/s
92656,320,,HDD,8,2.5,SATA 3.0 Gb/s
92657,50,,SSD,,PCIe,PCIe x4
92658,110,,SSD,,PCIe,PCIe x4
92659,3000,,HDD,64,3.5,SATA 6.0 Gb/s
92660,500,,SSD,,2.5,SATA 6.0 Gb/s
92661,240,0.912,SSD,,2.5,SATA 6.0 Gb/s
92662,32,,SSD,,2.5,SATA 6.0 Gb/s
92663,240,,SSD,,2.5,SATA 6.0 Gb/s
92664,3000,,HDD,64,3.5,SATA 3.0 Gb/s
92665,64,1.718,SSD,,2.5,SATA 6.0 Gb/s
92666,200,2.085,SSD,,2.5,SATA 6.0 Gb/s
92667,1000,0.086,HDD,8,2.5,SATA 6.0 Gb/s
92668,750,,HDD,8,2.5,SATA 3.0 Gb/s
92669,4000,,HDD,128,3.5,SATA 6.0 Gb/s
92670,240,,SSD,,2.5,SATA 6.0 Gb/s
92671,500,,HDD,32,3.5,SATA 6.0 Gb/s
92672,3000,,5900,64,3.5,SATA 6.0 Gb/s
92673,120,,SSD,256,2.5,SATA 6.0 Gb/s
92674,4000,,,64,3.5,SATA 6.0 Gb/s
92675,100,,SSD,,2.5,SATA 6.0 Gb/s
92676,512,,SSD,,M.2-2280,M.2 SATA
92677,256,,SSD,,2.5,SATA 6.0 Gb/s
92678,5000,0.037,HDD,64,3.5,SATA 6.0 Gb/s
92679,80,0.919,SSD,,M.2-2280,M.2 SATA
92680,5000,,HDD,64,3.5,SATA 6.0 Gb/s
92681,400,,SSD,512,2.5,SATA 6.0 Gb/s
92682,800,,SSD,,2.5,SATA 6.0 Gb/s
92683,300,,15000,16,3.5,SAS 6.0 Gb/s
92684,480,,SSD,,2.5,SATA 6.0 Gb/s
92685,240,0.621,SSD,,2.5,SATA 6.0 Gb/s
92686,512,,SSD,,2.5,SATA 6.0 Gb/s
92687,1000,,SSD,,2.5,SATA 6.0 Gb/s
92688,6000,,HDD,128,3.5,SATA 6.0 Gb/s
92689,256,,SSD,,2.5,SATA 3.0 Gb/s
92690,128,1.417,SSD,,M.2-2280,M.2 SATA
92691,500,,HDD,64,3.5,SATA 6.0 Gb/s
92692,240,,SSD,,2.5,SATA 6.0 Gb/s
92693,3840,,SSD,,2.5,SATA 6.0 Gb/s
92694,256,,SSD,,2.5,SATA 6.0 Gb/s
92695,240,,SSD,256,2.5,SATA 6.0 Gb/s
92696,8000,0.029,HDD,128,3.5,SATA 6.0 Gb/s
92697,240,,SSD,,2.5,SATA 6.0 Gb/s
92698,120,,SSD,,2.5,SATA 6.0 Gb/s
92699,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92700,256,0.488,SSD,,2.5,SATA 6.0 Gb/s
92701,960,,SSD,,2.5,SATA 6.0 Gb/s
92702,256,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
92703,1000,,SSD,1024,PCIe,PCIe x4
92704,256,,SSD,,PCIe,PCIe x4
92705,512,,SSD,,PCIe,PCIe x4
92706,6000,,HDD,256,3.5,SATA 6.0 Gb/s
92707,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92708,240,,SSD,,2.5,SATA 6.0 Gb/s
92709,5000,,HDD,128,3.5,SATA 6.0 Gb/s
92710,128,0.814,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92711,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92712,80,,HDD,,3.5,SATA 3.0 Gb/s
92713,120,,SSD,,2.5,SATA 6.0 Gb/s
92714,6000,,HDD,128,3.5,SATA 6.0 Gb/s
92715,512,,SSD,512,2.5,SATA 6.0 Gb/s
92716,8000,,HDD,128,3.5,SAS 12.0 Gb/s
92717,120,,SSD,,2.5,SATA 6.0 Gb/s
92718,240,,SSD,,M.2-2280,M.2 SATA
92719,500,,SSD,,2.5,SATA 6.0 Gb/s
92720,8000,0.028,HDD,256,3.5,SATA 6.0 Gb/s
92721,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
92722,480,,SSD,,2.5,SATA 6.0 Gb/s
92723,480,,SSD,,2.5,SATA 6.0 Gb/s
92724,500,,SSD,,2.5,SATA 6.0 Gb/s
92725,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
92726,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92727,1920,,SSD,,2.5,SATA 6.0 Gb/s
92728,8000,,HDD,,3.5,SATA 6.0 Gb/s
92729,1000,,SSD,,2.5,SATA 6.0 Gb/s
92730,128,,SSD,,M.2-2280,M.2 SATA
92731,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92732,1900,0.156,SSD,,2.5,SATA 6.0 Gb/s
92733,240,0.375,SSD,,2.5,SATA 6.0 Gb/s
92734,280,,SSD,,2.5,U.2
92735,128,,SSD,,2.5,SATA 6.0 Gb/s
92736,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92737,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92738,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92739,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92740,1000,,SSD,,2.5,SATA 6.0 Gb/s
92741,1000,0.496,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92742,128,,SSD,,2.5,SATA 6.0 Gb/s
92743,512,,SSD,,2.5,SATA 6.0 Gb/s
92744,400,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
92745,2000,,SSD,,PCIe,PCIe x2
92746,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92747,512,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
92748,256,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
92749,2000,,SSD,,2.5,SATA 6.0 Gb/s
92750,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92751,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92752,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92753,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92754,4000,,5900,64,3.5,SATA 6.0 Gb/s
92755,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92756,7680,,SSD,,2.5,SATA 6.0 Gb/s
92757,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92758,250,,SSD,,2.5,SATA 6.0 Gb/s
92759,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92760,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92761,8000,,HDD,256,3.5,SATA 6.0 Gb/s
92762,2000,0.245,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92763,6000,0.02,HDD,64,3.5,SATA 6.0 Gb/s
92764,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92765,1000,,SSD,,2.5,SATA 6.0 Gb/s
92766,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92767,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92768,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92769,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92770,240,,SSD,,2.5,SATA 6.0 Gb/s
92771,480,,SSD,,2.5,SATA 6.0 Gb/s
92772,256,,SSD,,2.5,SATA 6.0 Gb/s
92773,16000,,HDD,512,3.5,SATA 6.0 Gb/s
92774,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92775,4000,,SSD,,2.5,SATA 6.0 Gb/s
92776,512,,SSD,,M.2-2242,M.2 PCIe 3.0 X4
92777,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92778,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92779,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92780,256,,SSD,,2.5,SATA 6.0 Gb/s
92781,4000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92782,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92783,480,,SSD,,2.5,SATA 6.0 Gb/s
92784,18000,,HDD,512,3.5,SATA 6.0 Gb/s
92785,1000,,5940,64,3.5,SATA 6.0 Gb/s
92786,480,,SSD,,2.5,SATA 6.0 Gb/s
92787,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92788,500,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92789,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92790,500,0.133,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92791,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92792,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92793,120,0.2,SSD,,2.5,SATA 6.0 Gb/s
92794,6000,0.149,HDD,,3.5,SATA 6.0 Gb/s
92795,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92796,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92797,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92798,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92799,8000,0.05,HDD,256,3.5,SAS 6.0 Gb/s
92800,1000,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92801,120,0.25,SSD,,2.5,SATA 6.0 Gb/s
92802,240,,SSD,,2.5,SATA 6.0 Gb/s
92803,1200,0.573,SSD,,2.5,SATA 6.0 Gb/s
92804,40,2.475,SSD,,2.5,SATA 3.0 Gb/s
92805,500,,HDD,64,2.5,SATA 6.0 Gb/s
92806,60,2.5,SSD,,2.5,SATA 6.0 Gb/s
92807,64,1.507,SSD,,2.5,SATA 6.0 Gb/s
92808,960,0.312,SSD,,2.5,SATA 6.0 Gb/s
92809,10000,0.028,HDD,256,3.5,SATA 6.0 Gb/s
92810,12000,0.02,HDD,256,3.5,SATA 6.0 Gb/s
92811,256,0.148,SSD,,2.5,SATA 6.0 Gb/s
92812,4000,0.046,HDD,256,3.5,SATA 6.0 Gb/s
92813,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92814,480,0.109,SSD,,M.2-2280,M.2 SATA
92815,250,0.12,HDD,8,2.5,SATA 3.0 Gb/s
92816,320,0.298,HDD,8,3.5,PATA 100
92817,600,1.147,SSD,,2.5,SATA 3.0 Gb/s
92818,1000,0.09,HDD,64,2.5,SATA 6.0 Gb/s
92819,750,,HDD,8,2.5,SATA 3.0 Gb/s
92820,600,0.625,SSD,,2.5,SATA 3.0 Gb/s
92821,750,,HDD,8,2.5,SATA 3.0 Gb/s
92822,240,1.72,SSD,,PCIe,PCIe x2
92823,240,0.829,SSD,,2.5,SATA 6.0 Gb/s
92824,500,0.137,HDD,64,3.5,SATA 6.0 Gb/s
92825,240,0.454,SSD,,2.5,SATA 6.0 Gb/s
92826,10000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
92827,120,0.277,SSD,,2.5,SATA 6.0 Gb/s
92828,500,0.146,HDD,64,3.5,SATA 6.0 Gb/s
92829,480,0.125,SSD,,2.5,SATA 6.0 Gb/s
92830,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92831,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92832,4000,0.122,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92833,128,,SSD,,2.5,SATA 6.0 Gb/s
92834,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92835,3840,0.127,SSD,,2.5,SATA 6.0 Gb/s
92836,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92837,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92838,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92839,4000,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92840,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
92841,320,,HDD,16,3.5,SATA 3.0 Gb/s
92842,1000,,HDD,32,3.5,SATA 3.0 Gb/s
92843,160,0.312,HDD,8,3.5,SATA 3.0 Gb/s
92844,500,0.14,HDD,32,3.5,SATA 3.0 Gb/s
92845,2000,,HDD,32,3.5,SATA 3.0 Gb/s
92846,320,,HDD,8,3.5,SATA 3.0 Gb/s
92847,100,,SSD,,2.5,SATA 3.0 Gb/s
92848,200,,SSD,,2.5,SATA 3.0 Gb/s
92849,120,,SSD,,2.5,SATA 3.0 Gb/s
92850,1000,,HDD,32,3.5,SATA 3.0 Gb/s
92851,2000,,HDD,64,3.5,SATA 3.0 Gb/s
92852,640,,HDD,64,3.5,SATA 6.0 Gb/s
92853,512,,SSD,,2.5,SATA 3.0 Gb/s
92854,1000,0.498,HDD,32,3.5,SATA 3.0 Gb/s
92855,3000,,HDD,64,3.5,SATA 3.0 Gb/s
92856,30,,SSD,,2.5,SATA 3.0 Gb/s
92857,250,,SSD,,2.5,SATA 6.0 Gb/s
92858,1000,,HDD,8,3.5,SATA 3.0 Gb/s
92859,2500,,HDD,64,3.5,SATA 3.0 Gb/s
92860,2000,,5900,64,3.5,SATA 6.0 Gb/s
92861,750,,HDD,16,2.5,SATA 3.0 Gb/s
92862,500,0.16,HDD,16,2.5,SATA 3.0 Gb/s
92863,500,,HDD,16,2.5,SATA 3.0 Gb/s
92864,250,0.35,HDD,16,2.5,SATA 3.0 Gb/s
92865,256,,SSD,,2.5,SATA 6.0 Gb/s
92866,240,,SSD,,2.5,SATA 6.0 Gb/s
92867,300,,10000,32,3.5,SATA 6.0 Gb/s
92868,240,,SSD,,2.5,SATA 6.0 Gb/s
92869,1000,,HDD,16,3.5,SATA 6.0 Gb/s
92870,1000,,HDD,32,3.5,SATA 6.0 Gb/s
92871,750,0.102,HDD,16,2.5,SATA 3.0 Gb/s
92872,128,,SSD,,2.5,SATA 6.0 Gb/s
92873,512,,SSD,,2.5,SATA 6.0 Gb/s
92874,256,,SSD,,2.5,SATA 6.0 Gb/s
92875,16,,SSD,,2.5,SATA 3.0 Gb/s
92876,32,,SSD,,2.5,SATA 3.0 Gb/s
92877,2000,,HDD,64,3.5,SATA 3.0 Gb/s
92878,320,0.091,HDD,16,2.5,SATA 3.0 Gb/s
92879,1000,,HDD,64,3.5,SATA 6.0 Gb/s
92880,120,1.717,SSD,,2.5,SATA 6.0 Gb/s
92881,128,,SSD,,2.5,SATA 6.0 Gb/s
92882,320,,HDD,16,2.5,SATA 3.0 Gb/s
92883,320,0.093,HDD,16,3.5,SATA 3.0 Gb/s
92884,240,,SSD,,2.5,SATA 6.0 Gb/s
92885,256,,SSD,,2.5,SATA 6.0 Gb/s
92886,3000,0.043,HDD,64,3.5,SATA 6.0 Gb/s
92887,128,,SSD,,2.5,SATA 6.0 Gb/s
92888,240,,SSD,,2.5,SATA 6.0 Gb/s
92889,128,1.789,SSD,,mSATA,mSATA
92890,250,,HDD,8,2.5,SATA 3.0 Gb/s
92891,250,,HDD,16,3.5,SATA 3.0 Gb/s
92892,480,,SSD,,2.5,SATA 6.0 Gb/s
92893,1500,,HDD,64,2.5,SATA 3.0 Gb/s
92894,2000,,HDD,64,3.5,SATA 6.0 Gb/s
92895,600,,10000,32,3.5,SAS 6.0 Gb/s
92896,3000,,HDD,64,3.5,SAS 6.0 Gb/s
92897,4000,,HDD,64,3.5,SATA 6.0 Gb/s
92898,512,,SSD,,2.5,SATA 6.0 Gb/s
92899,120,,SSD,,2.5,SATA 6.0 Gb/s
92900,128,,SSD,,2.5,SATA 6.0 Gb/s
92901,180,1.05,SSD,,2.5,SATA 6.0 Gb/s
92902,240,0.337,SSD,,2.5,SATA 6.0 Gb/s
92903,500,,,32,2.5,SATA 6.0 Gb/s
92904,480,0.671,SSD,,2.5,SATA 6.0 Gb/s
92905,120,1.667,SSD,,2.5,SATA 6.0 Gb/s
92906,200,,SSD,,2.5,SATA 6.0 Gb/s
92907,240,0.787,SSD,,2.5,SATA 6.0 Gb/s
92908,120,,SSD,,2.5,SATA 6.0 Gb/s
92909,240,0.583,SSD,,mSATA,mSATA
92910,120,,SSD,256,M.2-2280,M.2 SATA
92911,512,,SSD,,2.5,SATA 6.0 Gb/s
92912,800,0.24,SSD,,2.5,SATA 6.0 Gb/s
92913,128,,SSD,,2.5,SATA 6.0 Gb/s
92914,256,,SSD,,2.5,SATA 6.0 Gb/s
92915,512,0.338,SSD,,2.5,SATA 6.0 Gb/s
92916,240,,SSD,,2.5,SATA 6.0 Gb/s
92917,256,,SSD,,2.5,SATA 6.0 Gb/s
92918,480,,SSD,,2.5,SATA 6.0 Gb/s
92919,240,,SSD,,2.5,SATA 6.0 Gb/s
92920,128,,SSD,,M.2-2280,M.2 SATA
92921,256,,SSD,,M.2-2280,M.2 SATA
92922,240,,SSD,,M.2-2280,M.2 SATA
92923,120,,SSD,,2.5,SATA 6.0 Gb/s
92924,500,,HDD,16,2.5,SATA 6.0 Gb/s
92925,320,,,32,2.5,SATA 6.0 Gb/s
92926,80,,SSD,,2.5,SATA 3.0 Gb/s
92927,240,0.333,SSD,,2.5,SATA 6.0 Gb/s
92928,500,,,,2.5,SATA 6.0 Gb/s
92929,1000,,HDD,16,2.5,SATA 6.0 Gb/s
92930,800,0.325,SSD,,2.5,U.2
92931,400,,SSD,,PCIe,PCIe x4
92932,120,,SSD,,2.5,SATA 6.0 Gb/s
92933,1000,,HDD,64,3.5,SATA 6.0 Gb/s
92934,2000,,HDD,64,3.5,SATA 6.0 Gb/s
92935,1200,,SSD,,PCIe,PCIe x4
92936,120,,SSD,,2.5,SATA 6.0 Gb/s
92937,8000,,HDD,128,3.5,SAS 12.0 Gb/s
92938,6000,0.023,5760,64,3.5,SATA 6.0 Gb/s
92939,480,,SSD,512,M.2-2280,M.2 SATA
92940,120,,SSD,256,2.5,SATA 6.0 Gb/s
92941,240,,SSD,256,2.5,SATA 6.0 Gb/s
92942,5000,,HDD,128,3.5,SATA 6.0 Gb/s
92943,2000,,SSD,,PCIe,PCIe x4
92944,500,,HDD,64,3.5,SATA 6.0 Gb/s
92945,480,,SSD,,2.5,SATA 6.0 Gb/s
92946,480,,SSD,512,PCIe,PCIe x4
92947,2000,,SSD,,2.5,SATA 6.0 Gb/s
92948,5000,,HDD,128,3.5,SATA 6.0 Gb/s
92949,8000,0.034,HDD,128,3.5,SATA 6.0 Gb/s
92950,360,,SSD,,M.2-2280,M.2 SATA
92951,240,,SSD,,M.2-2280,M.2 SATA
92952,1000,,SSD,,M.2-2280,M.2 SATA
92953,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92954,240,0.479,SSD,,M.2-2280,M.2 SATA
92955,120,,SSD,,2.5,SATA 6.0 Gb/s
92956,256,,SSD,512,PCIe,PCIe x4
92957,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92958,120,,SSD,,2.5,SATA 6.0 Gb/s
92959,1000,,HDD,32,3.5,SATA 6.0 Gb/s
92960,120,,SSD,,2.5,SATA 6.0 Gb/s
92961,480,,SSD,,2.5,SATA 6.0 Gb/s
92962,120,,SSD,,2.5,SATA 6.0 Gb/s
92963,960,,SSD,,2.5,SATA 6.0 Gb/s
92964,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92965,3000,0.028,HDD,64,3.5,SATA 6.0 Gb/s
92966,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92967,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92968,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92969,480,,SSD,,2.5,SATA 6.0 Gb/s
92970,10000,0.026,HDD,256,3.5,SAS 12.0 Gb/s
92971,10000,0.029,HDD,256,3.5,SAS 12.0 Gb/s
92972,15360,,SSD,,2.5,SAS 12.0 Gb/s
92973,120,,SSD,,2.5,SATA 6.0 Gb/s
92974,240,,SSD,,2.5,SATA 6.0 Gb/s
92975,480,,SSD,,M.2-2280,M.2 SATA
92976,250,,SSD,,2.5,SATA 6.0 Gb/s
92977,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92978,512,,SSD,,2.5,SATA 6.0 Gb/s
92979,250,,SSD,,2.5,SATA 6.0 Gb/s
92980,960,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92981,240,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
92982,2000,,HDD,128,3.5,SATA 6.0 Gb/s
92983,2000,0.062,HDD,128,3.5,SATA 6.0 Gb/s
92984,2000,,HDD,128,2.5,SATA 6.0 Gb/s
92985,14000,0.029,HDD,256,3.5,SATA 6.0 Gb/s
92986,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
92987,480,,SSD,,2.5,SATA 6.0 Gb/s
92988,240,0.25,SSD,,2.5,SATA 6.0 Gb/s
92989,960,,SSD,,2.5,SATA 6.0 Gb/s
92990,250,,SSD,,2.5,SATA 6.0 Gb/s
92991,2000,0.069,HDD,128,3.5,SATA 6.0 Gb/s
92992,2000,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
92993,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
92994,10000,0.026,HDD,256,3.5,SATA 6.0 Gb/s
92995,480,,SSD,,2.5,SATA 6.0 Gb/s
92996,6000,0.04,HDD,256,3.5,SATA 6.0 Gb/s
92997,1000,,SSD,,2.5,SATA 6.0 Gb/s
92998,250,,SSD,,2.5,SATA 6.0 Gb/s
92999,2000,,SSD,,2.5,SATA 6.0 Gb/s
93000,256,0.309,SSD,,M.2-2280,M.2 SATA
93001,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93002,256,0.204,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93003,512,0.171,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93004,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93005,960,,SSD,,2.5,SATA 6.0 Gb/s
93006,960,0.083,SSD,,2.5,SATA 6.0 Gb/s
93007,1000,,SSD,,2.5,SATA 6.0 Gb/s
93008,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93009,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93010,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
93011,1000,,SSD,,PCIe,PCIe x2
93012,240,,SSD,,2.5,SATA 6.0 Gb/s
93013,960,0.287,SSD,,2.5,SATA 6.0 Gb/s
93014,480,,SSD,,2.5,SATA 6.0 Gb/s
93015,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93016,4000,,SSD,,PCIe,PCIe x8
93017,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93018,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93019,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93020,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93021,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93022,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93023,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93024,16000,,HDD,256,3.5,SAS 12.0 Gb/s
93025,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93026,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93027,18000,,HDD,512,3.5,SATA 6.0 Gb/s
93028,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93029,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93030,500,,SSD,,2.5,SATA 6.0 Gb/s
93031,1000,,SSD,,2.5,SATA 6.0 Gb/s
93032,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93033,120,,SSD,,2.5,SATA 6.0 Gb/s
93034,128,,SSD,,2.5,SATA 6.0 Gb/s
93035,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93036,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93037,1000,,SSD,,M.2-2280,M.2 SATA
93038,128,,SSD,,2.5,SATA 6.0 Gb/s
93039,256,,SSD,,2.5,SATA 6.0 Gb/s
93040,6000,0.028,HDD,256,3.5,SATA 6.0 Gb/s
93041,2000,,HDD,128,2.5,SATA 6.0 Gb/s
93042,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93043,8000,0.031,HDD,128,3.5,SATA 6.0 Gb/s
93044,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93045,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93046,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93047,480,0.271,SSD,,2.5,SATA 6.0 Gb/s
93048,250,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93049,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93050,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93051,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93052,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93053,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93054,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93055,512,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93056,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93057,512,,SSD,,2.5,SATA 6.0 Gb/s
93058,2000,,SSD,,2.5,SATA 6.0 Gb/s
93059,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
93060,8000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
93061,1000,0.089,SSD,,M.2-2242,M.2 PCIe 3.0 X4
