model_no,capacity,price_per_gb,type,cache,form_factor,interface
90139,18000,0.018,HDD,256,3.5,SATA 6.0 Gb/s
90140,4000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90141,1200,1.25,SSD,,PCIe,PCIe x4
90142,6000,0.014,HDD,128,3.5,SATA 6.0 Gb/s
90143,1000,0.122,SSD,,2.5,SATA 6.0 Gb/s
90144,1000,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90145,8000,0.015,HDD,256,3.5,SATA 6.0 Gb/s
90146,1000,0.077,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90147,500,0.22,SSD,512,2.5,SATA 6.0 Gb/s
90148,1000,0.072,HDD,64,3.5,SATA 6.0 Gb/s
90149,1000,0.056,SSD,,M.2-2280,M.2 SATA
90150,1000,0.163,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
90151,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90152,4000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90153,4000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90154,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90155,1000,0.165,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90156,2000,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90157,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90158,4000,0.069,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
90159,250,,SSD,,2.5,SATA 6.0 Gb/s
90160,480,0.058,SSD,,2.5,SATA 6.0 Gb/s
90161,4000,0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90162,250,0.124,SSD,512,2.5,SATA 6.0 Gb/s
90163,4000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
90164,16000,0.015,HDD,512,3.5,SATA 6.0 Gb/s
90165,2000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90166,4000,0.068,SSD,,2.5,SATA 6.0 Gb/s
90167,500,0.184,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90168,2000,0.062,SSD,,2.5,SATA 6.0 Gb/s
90169,2000,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90170,2000,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90171,2000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90172,1000,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90173,4000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90174,1000,0.054,SSD,,2.5,SATA 6.0 Gb/s
90175,8000,0.035,HDD,256,3.5,SATA 6.0 Gb/s
90176,2000,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90177,1000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90178,2000,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90179,22000,0.02,HDD,512,3.5,SATA 6.0 Gb/s
90180,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90181,500,0.233,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
90182,512,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90183,1000,0.094,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90184,4000,0.142,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90185,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90186,240,0.092,SSD,,2.5,SATA 6.0 Gb/s
90187,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90188,256,0.102,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90189,1000,0.025,HDD,64,3.5,SATA 6.0 Gb/s
90190,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90191,1000,0.133,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90192,1000,0.078,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90193,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90194,2000,0.083,SSD,,2.5,SATA 6.0 Gb/s
90195,1000,0.123,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90196,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90197,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90198,1000,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90199,1000,0.025,HDD,128,3.5,SATA 6.0 Gb/s
90200,800,3.984,SSD,,2.5,SAS 12.0 Gb/s
90201,4000,0.022,HDD,256,3.5,SATA 6.0 Gb/s
