model_no,core_count,core_clock,boost_clock,graphics,socket
30250,6,2.7,4.6,Intel UHD Graphics 750,
30251,8,3.1,5,Intel UHD Graphics 630,
30252,24,1.1,5.3,Intel UHD Graphics 770,
30253,4,2.7,3.3,Intel HD Graphics 630,
30254,4,3.6,4,Intel HD Graphics 4600,
30255,6,4,5,Intel UHD Graphics 630,
30256,4,3.2,3.6,Intel HD Graphics 530,
30257,12,3.8,4.6,,
30258,6,3.2,4.6,Intel UHD Graphics 630,
30259,8,3.5,,,
30260,4,2.2,4.1,Intel UHD Graphics 730,
30261,2,3,,,
30262,10,3.3,4.5,,
30263,4,3.5,,Intel HD Graphics 3000,
30264,4,3.6,4.2,Intel HD Graphics 630,
30265,6,2.8,4,Intel UHD Graphics 630,
30266,4,4.3,4.5,,
30267,6,3.6,4,,
30268,6,3.5,4,,
30269,2,4,,Intel UHD Graphics 610,
30270,14,3.3,4.8,,
30271,4,3.1,3.3,Intel HD Graphics 4600,
30272,4,3.4,,Intel HD Graphics 4600,
30273,2,2.7,,,
30274,6,3.1,4.3,Intel UHD Graphics 630,
30275,8,3.6,5,Intel UHD Graphics 630,
30276,4,3.5,3.7,,
30277,8,3.2,3.6,,
30278,6,3.4,3.9,,
30279,8,2.5,5.2,Intel UHD Graphics 750,
30280,8,4.7,5,,
30281,6,2.1,3.5,Intel UHD Graphics 630,
30282,4,3.1,3.4,,
30283,6,3.6,4.2,,
30284,4,3.3,,Intel HD Graphics 2000,
30285,2,3.1,,Intel HD Graphics 2000,
30286,6,3.6,4.2,,
30287,16,2.1,3,,
30288,10,3.6,5.2,Intel UHD Graphics 630,
30289,2,2.8,,Intel HD Graphics 510,
30290,6,3.6,3.8,,
30291,2,3.7,,Intel HD Graphics 4400,
30292,4,4.2,4.5,Intel HD Graphics 630,
30293,18,2.6,4.4,,
30294,16,2.3,3.6,,
30295,2,3.3,,Intel HD Graphics 2500,
30296,8,4,4.3,,
30297,6,3.8,4.4,,
30298,2,3.5,,Intel UHD Graphics 610,
30299,24,3,4.2,,
30300,8,3,4.7,,
30301,4,3.7,3.9,,
30302,6,3.5,3.7,,
30303,12,3.5,4.3,,
30304,2,3.7,3.9,Radeon HD 8370D,
30305,8,3.9,4.5,,
30306,14,1.6,4.6,Intel UHD Graphics 770,
30307,2,3.2,,,
30308,2,3.5,,Intel HD Graphics 610,
30309,18,2.3,3.6,,
30310,8,3.3,,,
30311,8,3.6,4.9,Intel UHD Graphics 630,
30312,4,4,4.2,Intel HD Graphics 530,
30313,2,3.3,,Intel HD Graphics 2000,
30314,8,3.6,4.5,,
30315,14,2.7,5,Intel UHD Graphics 770,
30316,4,2.05,,Radeon HD 8400,
30317,6,2.9,4.1,Intel UHD Graphics 630,
30318,2,3.6,,Intel HD Graphics 4400,
30319,4,2.9,,Intel HD Graphics 2500,
30320,10,3,3.5,,
30321,8,3,3.5,,
30322,12,3.5,4.8,,
30323,8,2.4,3.2,,
30324,4,2.4,3,Intel HD Graphics 630,
30325,2,2.9,,Intel HD Graphics,
30326,2,3.7,,Intel UHD Graphics 610,
30327,18,3,4.4,,
30328,6,3.5,3.8,,
30329,4,3.4,4,Intel HD Graphics 530,
30330,12,3,3.5,,
30331,16,1.4,4.9,,
30332,6,3.7,4.6,Intel UHD Graphics 630,
30333,6,3.9,,,
30334,6,3.2,,,
30335,18,2.3,3.6,,
30336,4,3,,Intel HD Graphics 2500,
30337,6,3.33,,,
30338,14,2.6,3.5,,
30339,6,3.3,4.8,Intel UHD Graphics 630,
30340,4,3.1,,Intel HD Graphics 2500,
30341,12,2.7,3.5,,
30342,8,3.4,3.8,,
30343,8,3,4.7,Intel HD Graphics 630,
30344,2,3.8,,Intel HD Graphics 4600,
30345,4,2.5,4.2,Intel UHD Graphics 730,
30346,12,3.1,,,
30347,2,3.4,,Intel HD Graphics 630,
30348,2,3.5,3.8,Radeon R5 (on die),
30349,4,3.1,3.8,Radeon R7 (on-die),
30350,4,2.93,,,
30351,4,2.83,,,
30352,4,3.7,4.4,Intel UHD Graphics 630,
30353,6,3.5,4.1,,
30354,2,2.93,,Intel HD Graphics,
30355,2,3.16,,,
30356,4,3.8,,,
30357,4,3.7,4.2,Radeon Vega 11,
30358,4,3.1,,,
30359,4,2.66,,,
30360,4,2.4,,,
30361,4,3.4,3.8,,
30362,4,3.5,3.8,Radeon R7 (on-die),
30363,12,2.9,4.4,,
30364,6,3.6,4,,
30365,4,3.1,,Intel HD Graphics 4600,
30366,12,2.4,3.2,,
30367,18,3,4.4,,
30368,6,3.3,,,
30369,2,4.1,,Intel HD Graphics 630,
30370,4,3.7,4,Radeon R7 (on-die),
30371,8,3.8,4.5,,
30372,4,3.6,,,
30373,4,3,,,
30374,10,2.2,3.1,,
30375,8,2.6,3.4,,
30376,6,2.4,4,Intel UHD Graphics 630,
30377,4,3.6,3.9,Radeon Vega 11,
30378,8,2.2,3,,
30379,4,2.66,,,
30380,4,4.2,,,
30381,2,2.4,,,
30382,2,3.4,,Intel HD Graphics 2500,
30383,4,3,,Intel HD Graphics 4600,
30384,12,2.3,3.1,,
30385,20,2.2,3.6,,
30386,4,2.5,,,
30387,2,3.3,,Intel HD Graphics 510,
30388,6,3.8,5.1,Radeon,
30389,6,3.1,4.6,Intel UHD Graphics 630,
30390,4,2.9,3.8,Intel HD Graphics 630,
30391,4,2.8,3.4,Intel HD Graphics 510,
30392,4,3.1,,Intel HD Graphics 4000,
30393,16,3.1,4.4,,
30394,2,3.2,,Intel UHD Graphics 610,
30395,6,3.5,4,,
30396,8,3.8,5.3,Radeon,
30397,14,2,3.2,,
30398,8,4.4,4.7,,
30399,4,3.2,4,Intel HD Graphics 4000,
30400,6,3.6,4.3,Intel UHD Graphics 630,
30401,6,2.2,3.7,Intel UHD Graphics 630,
30402,4,2.8,3.6,Intel HD Graphics 530,
30403,4,2.8,,,
30404,2,1.8,,Intel UHD Graphics 610,
30405,4,3.4,,,
30406,14,2.6,3.6,,
30407,4,3.5,3.7,Radeon Vega 8,
30408,4,3.9,,Radeon HD 8570D,
30409,2,3.2,,Intel HD Graphics,
30410,4,2.5,3.1,Intel HD Graphics 530,
30411,4,3,,,
30412,4,4,,Intel UHD Graphics 630,
30413,4,3,,Intel HD Graphics 2000,
30414,10,3.3,4.5,,
30415,4,3.3,,Intel HD Graphics 2500,
30416,12,2.5,3.3,,
30417,4,3.8,4,,
30418,2,2.6,,,
30419,4,4,4.6,,
30420,4,3.7,4,,
30421,4,3.5,3.6,,
30422,6,3.5,,,
30423,2,3.5,,Intel HD Graphics 2500,
30424,4,2.5,,Intel HD Graphics 2000,
30425,4,2.7,,Radeon HD 6530D,
30426,4,3.1,,Intel UHD Graphics 630,
30427,2,2.93,,,
30428,2,3.9,,Intel HD Graphics 630,
30429,4,3.5,3.8,Radeon R7 (on-die),
30430,4,3.7,4,,
30431,6,3.2,,,
30432,2,4.1,,Intel UHD Graphics 610,
30433,2,3.5,,Intel UHD Graphics 610,
30434,10,3.1,3.5,,
30435,4,3.8,4.2,Intel HD Graphics 630,
30436,8,3.8,5.1,Intel UHD Graphics 630,
30437,4,3.06,,,
30438,1,1.8,,,
30439,2,3.2,,Intel HD Graphics,
30440,4,3.1,3.4,Radeon R7 (on-die),
30441,8,2.1,3,,
30442,1,2,,,
30443,2,2.9,,Intel HD Graphics 4600,
30444,6,3.7,4,,
30445,6,2,,,
30446,8,2.2,2.6,,
30447,4,2.8,,,
30448,4,2.9,,Intel HD Graphics 4600,
30449,2,4.1,,Intel UHD Graphics 630,
30450,6,3.7,4.7,Intel HD Graphics P630,
30451,4,3.5,3.9,Intel HD Graphics 4600,
30452,4,3,3.5,Intel HD Graphics 630,
30453,2,3.6,,Intel UHD Graphics 610,
30454,4,3.3,,,
30455,4,2.1,3.2,,
30456,10,3.7,5.3,Intel UHD Graphics 630,
30457,10,3.5,4.4,,
30458,6,3.5,,,
30459,2,3.7,,Intel HD Graphics 530,
30460,8,4,,,
30461,6,2.5,3,,
30462,6,3.3,3.6,,
30463,4,3,3.7,Intel HD Graphics 4000,
30464,4,3.3,3.7,Radeon R7 (on-die),
30465,2,3.8,,Intel HD Graphics 530,
30466,4,3.4,3.8,Intel HD Graphics 630,
30467,8,3.2,4.1,,
30468,4,3.2,,,
30469,6,3,4.4,,
30470,4,3.5,3.9,,
30471,4,3.2,,,
30472,18,2.1,3.3,,
30473,4,3,,,
30474,6,1.7,3.3,Intel UHD Graphics 630,
30475,2,4.2,,,
30476,8,3,3.5,,
30477,8,3.6,,,
30478,4,4.1,,Radeon HD 8670D,
30479,4,3.5,3.9,Intel HD Graphics 4600,
30480,4,3.5,3.9,Radeon R7 (on-die),
30481,4,3.5,3.8,,
30482,8,2,2.8,,
30483,2,3.1,,Intel UHD Graphics 610,
30484,4,3.5,3.9,Intel HD Graphics 4600,
30485,4,3.6,4,Radeon R7 (on-die),
30486,8,3.1,5,Intel UHD Graphics 630,
30487,8,3.8,5.3,Radeon,
30488,4,3.5,3.9,Intel HD Graphics P530,
30489,4,3.5,3.8,,
30490,2,3.7,,Intel UHD Graphics 610,
30491,16,3.1,4.4,,
30492,2,3.5,,Radeon Vega 3,
30493,4,4.1,4.3,Radeon R7 (on-die),
30494,10,2.6,3.3,,
30495,4,3.2,,,
30496,4,3.1,3.8,Intel HD Graphics 4600,
30497,8,3.5,,,
30498,6,2.9,4.1,Intel UHD Graphics 630,
30499,6,3,4.1,Intel UHD Graphics 630,
30500,6,3.7,4.6,,
30501,4,3.6,,Radeon HD 7560D,
30502,4,2.7,3.3,Intel HD Graphics 530,
30503,6,3.3,,,
30504,10,2.6,3.3,,
30505,2,3.4,,Intel HD Graphics 630,
30506,18,2.6,4.4,,
30507,6,2.4,3.2,,
30508,10,2.4,3.4,,
30509,2,2.6,,Intel HD Graphics,
30510,2,3.06,,Intel HD Graphics,
30511,4,3.4,3.8,Radeon R7 (on-die),
30512,4,3.3,3.7,,
30513,6,3.9,,,
30514,2,3.8,,Intel UHD Graphics 630,
30515,10,3,3.6,,
30516,8,3.2,4,,
30517,6,3.3,,,
30518,4,2.8,,Intel HD Graphics 2000,
30519,10,2.3,3,,
30520,4,3.3,4.3,,
30521,4,3.5,3.9,Intel HD Graphics 4600,
30522,8,4,,,
30523,2,3,,Intel HD Graphics,
30524,2,3.6,,Intel HD Graphics 510,
30525,2,3.6,,Intel HD Graphics 630,
30526,32,3,4.2,,
30527,2,2.13,,,
30528,6,3.333,,,
30529,2,2.9,,Intel HD Graphics 4400,
30530,2,2.7,,,
30531,4,3,3.8,Intel UHD Graphics 630,
30532,4,3.4,,Radeon HD 7660D,
30533,8,4.7,5,,
30534,4,4,4.4,Intel HD Graphics 4600,
30535,8,2.2,3,,
30536,10,3.6,5.2,Intel UHD Graphics 630,
30537,4,3.8,4.6,Intel UHD Graphics 630,
30538,8,3.6,4.5,,
30539,4,2.8,,Intel HD Graphics 2000,
30540,8,2.7,3.5,,
30541,6,3.5,3.7,,
30542,4,2.9,,Intel HD Graphics 2000,
30543,2,3.4,,Radeon HD 7480D,
30544,12,2.6,3.5,,
30545,10,3.3,4.1,,
30546,4,3.1,3.7,Intel UHD Graphics 630,
30547,4,2.8,,,
30548,2,2.9,,Intel HD Graphics 610,
30549,4,4,4.2,,
30550,2,2.7,,Intel HD Graphics 610,
30551,6,3.467,,,
30552,2,3,,Intel HD Graphics,
30553,8,2,4.3,Intel HD Graphics 630,
30554,6,1.8,3.4,Intel UHD Graphics 630,
30555,2,4.2,,Intel UHD Graphics 630,
30556,2,3.2,,Intel HD Graphics 530,
30557,14,3.3,4.4,,
30558,4,2.5,,,
30559,8,3.1,,,
30560,4,3,,Radeon HD 6550D,
30561,4,2.8,3.7,Intel HD Graphics 630,
30562,4,3.2,,,
30563,8,2.2,3,,
30564,4,3.1,3.5,,
30565,2,3.06,,,
30566,6,3.5,3.9,,
30567,1,2,,,
30568,1,1.6,,Intel HD Graphics,
30569,4,3.6,,,
30570,4,3.8,,Radeon HD 7660D,
30571,10,2.8,3.6,,
30572,4,2.7,3.9,,
30573,10,3.5,4.4,,
30574,4,3.1,3.4,,
30575,2,4.3,,Intel UHD Graphics 630,
30576,4,3.9,4.1,Radeon R7 (on-die),
30577,4,3.8,4.2,Radeon R7 (on-die),
30578,2,3.2,,Intel HD Graphics 2500,
30579,2,3.8,,Intel UHD Graphics 610,
