model_no,type,psu,side_panel,external_volume,internal_35_bays
15495,ATX Mid Tower,ATX,Acrylic,37,3
15496,ATX Mid Tower,ATX,,37,3
15497,ATX Mid Tower,ATX,,33.8,2
15498,ATX Mid Tower,ATX,,33.8,2
15499,ATX Mid Tower,ATX,,33.8,2
15500,ATX Mid Tower,ATX,,33.8,2
15501,ATX Mid Tower,ATX,,33.8,2
15502,ATX Mid Tower,ATX,,33.8,2
15503,ATX Mid Tower,ATX,,33.8,2
15504,ATX Mid Tower,ATX,,29.5,1
15505,Mini ITX Tower,SFX,,31.1,4
15506,Mini ITX Tower,SFX,Acrylic,31.1,4
15507,Mini ITX Tower,SFX,,31.1,4
15508,ATX Mid Tower,ATX,,,5
15509,ATX Mid Tower,ATX,,,5
15510,ATX Mid Tower,ATX,,,5
15511,ATX Mid Tower,ATX,Acrylic,,5
15512,MicroATX Mid Tower,ATX,Acrylic,47.1,3
15513,MicroATX Mid Tower,ATX,Acrylic,47.1,3
15514,MicroATX Mid Tower,ATX,Acrylic,47.1,3
15515,MicroATX Mid Tower,ATX,,47.1,3
15516,ATX Mid Tower,ATX,Acrylic,44.4,4
15517,Mini ITX Tower,SFX,,18.1,2
15518,Mini ITX Tower,SFX,,18.1,2
15519,Mini ITX Tower,SFX,Acrylic,18.1,2
15520,ATX Full Tower,ATX,Acrylic,81,8
15521,ATX Mid Tower,ATX,,33.4,5
15522,MicroATX Mid Tower,ATX,,23.7,4
15523,MicroATX Mid Tower,ATX,Acrylic,31.2,2
15524,MicroATX Mid Tower,ATX,,31.2,2
15525,MicroATX Mid Tower,ATX,,31.2,2
15526,MicroATX Mid Tower,ATX,,31.2,2
15527,MicroATX Mid Tower,ATX,Acrylic,31.2,2
15528,MicroATX Mid Tower,ATX,,31.2,2
15529,ATX Mid Tower,ATX,,57.4,6
15530,ATX Mid Tower,ATX,,,6
15531,Mini ITX Tower,SFX,,13.2,2
15532,Mini ITX Tower,SFX,,22.4,1
15533,Mini ITX Tower,SFX,,22.4,1
15534,Mini ITX Tower,SFX,,18.1,5
15535,ATX Full Tower,ATX,Acrylic,73.6,0
15536,ATX Full Tower,ATX,,94.4,8
15537,MicroATX Mid Tower,ATX,,36.6,6
15538,MicroATX Mid Tower,ATX,,36.6,3
15539,MicroATX Mid Tower,ATX,,36.6,3
15540,MicroATX Mid Tower,ATX,,36.6,3
15541,Mini ITX Tower,SFX,,25.4,2
15542,Mini ITX Tower,SFX,,25.4,2
15543,Mini ITX Tower,SFX,,25.4,2
15544,Mini ITX Tower,SFX,,25.4,2
15545,ATX Mid Tower,ATX,,37,3
15546,ATX Mid Tower,ATX,Acrylic,37,3
15547,ATX Mid Tower,ATX,,63.8,2
15548,ATX Mid Tower,ATX,Acrylic,63.8,2
15549,ATX Mid Tower,ATX,Acrylic,37.2,4
15550,ATX Mid Tower,ATX,Acrylic,37.2,4
15551,ATX Mid Tower,ATX,,43.6,4
15552,ATX Mid Tower,ATX,,43.6,4
15553,ATX Mid Tower,ATX,,43.6,4
15554,ATX Full Tower,ATX,Tempered Glass,131.3,4
15555,ATX Full Tower,ATX,Acrylic,131.3,4
15556,ATX Mid Tower,ATX,Acrylic,47.8,4
15557,ATX Mid Tower,ATX,Acrylic,47.8,4
15558,ATX Mid Tower,ATX,Acrylic,45.3,2
15559,ATX Mid Tower,ATX,,45.3,2
15560,ATX Full Tower,ATX,,,11
15561,MicroATX Mini Tower,ATX,,35.9,4
15562,MicroATX Mini Tower,ATX,,35.9,4
15563,MicroATX Mini Tower,ATX,Acrylic,35.9,4
15564,MicroATX Mini Tower,ATX,Acrylic,35.9,4
15565,ATX Mid Tower,ATX,Acrylic,,6
15566,ATX Mid Tower,ATX,Acrylic,,0
15567,ATX Mid Tower,ATX,Acrylic,,0
15568,ATX Mid Tower,ATX,Acrylic,,0
15569,Mini ITX Tower,SFX,,,4
15570,Mini ITX Tower,SFX,Acrylic,,4
15571,Mini ITX Tower,SFX,,,4
15572,Mini ITX Tower,SFX,Acrylic,,4
15573,ATX Mid Tower,ATX,,40.2,7
15574,ATX Mid Tower,ATX,Acrylic,33.8,2
15575,ATX Mid Tower,ATX,Acrylic,33.8,2
15576,ATX Mid Tower,ATX,Acrylic,41.6,4
15577,ATX Mid Tower,ATX,Acrylic,38,5
15578,ATX Mid Tower,ATX,Acrylic,38,5
15579,ATX Mid Tower,ATX,Acrylic,38,5
15580,ATX Full Tower,ATX,Acrylic,,8
15581,ATX Mid Tower,ATX,,,6
15582,ATX Mid Tower,ATX,,,5
