model_no,type,psu,side_panel,external_volume,internal_35_bays
10001,ATX Mid Tower,ATX,Tinted Tempered Glass,48.6,2
10002,ATX Mid Tower,ATX,Tempered Glass,47,1
10003,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10004,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10005,ATX Mid Tower,ATX,Tempered Glass,54.2,2
10006,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10007,MicroATX Mini Tower,ATX,Acrylic,33.6,1
10008,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10009,ATX Mid Tower,ATX,Tempered Glass,,2
10010,MicroATX Mid Tower,ATX,Tempered Glass,36.1,2
10011,ATX Mid Tower,ATX,Tempered Glass,67.8,2
10012,ATX Mid Tower,ATX,Tempered Glass,45.1,2
10013,ATX Mid Tower,ATX,Tempered Glass,51.8,2
10014,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10015,ATX Mid Tower,ATX,Tempered Glass,51.8,2
10016,ATX Mid Tower,ATX,Tempered Glass,60.8,6
10017,ATX Mid Tower,ATX,Tempered Glass,55.6,2
10018,MicroATX Mid Tower,ATX,Tempered Glass,38.3,2
10019,ATX Full Tower,ATX,Tempered Glass,98.9,8
10020,ATX Mid Tower,ATX,Tempered Glass,44.9,2
10021,Mini ITX Desktop,SFX,Mesh,11.4,0
10022,ATX Mid Tower,ATX,Tempered Glass,47,1
10023,MicroATX Mini Tower,ATX,Tempered Glass,,2
10024,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10025,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10026,ATX Mid Tower,ATX,Tempered Glass,67.8,2
10027,ATX Mid Tower,ATX,Tempered Glass,54.2,2
10028,ATX Mid Tower,ATX,Tempered Glass,49.5,2
10029,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10030,ATX Mid Tower,ATX,Tempered Glass,66.2,2
10031,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10032,ATX Mid Tower,ATX,Tempered Glass,63,5
10033,MicroATX Mini Tower,ATX,Mesh,33,3
10034,Mini ITX Desktop,SFX,,,2
10035,ATX Mid Tower,ATX,Tinted Tempered Glass,48.6,2
10036,ATX Mid Tower,ATX,Tempered Glass,65.3,4
10037,MicroATX Mid Tower,ATX,Tempered Glass,36.5,2
10038,ATX Mid Tower,ATX,Tempered Glass,48.6,2
10039,ATX Mid Tower,ATX,Tempered Glass,43,2
10040,ATX Full Tower,ATX,Tinted Tempered Glass,61.4,2
10041,ATX Mid Tower,ATX,Tempered Glass,63,5
10042,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10043,MicroATX Mini Tower,ATX,Tempered Glass,31.5,2
10044,ATX Mid Tower,ATX,Tempered Glass,42.3,2
10045,ATX Mid Tower,ATX,Tempered Glass,54.2,2
10046,ATX Mid Tower,ATX,Tinted Tempered Glass,60.8,6
10047,Mini ITX Desktop,SFX,Tempered Glass,19.1,1
10048,ATX Full Tower,ATX,Tempered Glass,84.4,4
10049,Mini ITX Desktop,SFX,Mesh,11.4,0
10050,ATX Mid Tower,ATX,Tinted Tempered Glass,40.6,2
10051,ATX Mid Tower,ATX,Tempered Glass,47,1
10052,MicroATX Mid Tower,ATX,Tempered Glass,36.5,2
10053,ATX Mid Tower,ATX,Tempered Glass,,2
10054,ATX Mid Tower,ATX,Tempered Glass,60.2,3
10055,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10056,ATX Mid Tower,ATX,Tempered Glass,45.3,2
10057,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10058,ATX Full Tower,ATX,Tempered Glass,81.8,6
10059,MicroATX Mini Tower,ATX,Tinted Tempered Glass,38.7,2
10060,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10061,Mini ITX Desktop,SFX,Mesh,11.1,0
10062,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10063,ATX Full Tower,ATX,Tempered Glass,62.4,3
10064,MicroATX Mid Tower,ATX,Tempered Glass,36.1,2
10065,Mini ITX Desktop,SFX,Tempered Glass,20.3,2
10066,ATX Mid Tower,ATX,Tempered Glass,,2
10067,ATX Mid Tower,ATX,Tempered Glass,43,2
10068,MicroATX Mini Tower,ATX,,20.5,1
10069,ATX Full Tower,ATX,Tempered Glass,54,3
10070,ATX Mid Tower,ATX,Acrylic,38.4,2
10071,ATX Mid Tower,ATX,Tempered Glass,45.1,2
10072,ATX Full Tower,ATX,Tempered Glass,84.4,4
10073,ATX Mid Tower,ATX,Tempered Glass,48.3,2
10074,ATX Mid Tower,ATX,Tempered Glass,55.6,2
10075,MicroATX Mini Tower,ATX,Tempered Glass,45.7,2
10076,MicroATX Mini Tower,ATX,Tempered Glass,31.6,2
10077,MicroATX Mini Tower,ATX,Mesh,33,3
10078,ATX Mid Tower,ATX,Tempered Glass,65.3,4
10079,Mini ITX Desktop,SFX,Mesh,20.1,1
10080,MicroATX Mini Tower,ATX,Tempered Glass,33,3
10081,ATX Mid Tower,ATX,Tempered Glass,54.2,2
10082,Mini ITX Tower,SFX,Mesh,16.3,0
10083,ATX Mid Tower,ATX,Tempered Glass,48.6,2
10084,Mini ITX Desktop,SFX,Mesh,11.4,0
10085,ATX Mid Tower,ATX,Tempered Glass,47,1
10086,MicroATX Mid Tower,ATX,,25.8,2
10087,MicroATX Mini Tower,ATX,,21.9,5
10088,ATX Full Tower,ATX,Tempered Glass,129.5,2
10089,ATX Mid Tower,ATX,Tempered Glass,41.3,2
10090,MicroATX Mini Tower,ATX,Tempered Glass,38.8,2
10091,ATX Mid Tower,ATX,Tempered Glass,44.2,4
10092,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10093,MicroATX Mid Tower,ATX,Tempered Glass,38.3,2
10094,ATX Mid Tower,ATX,Tempered Glass,55.6,2
10095,ATX Full Tower,ATX,Tempered Glass,83.5,2
10096,MicroATX Mini Tower,ATX,Tempered Glass,,2
10097,ATX Mid Tower,ATX,Tempered Glass,42.5,2
10098,ATX Mid Tower,ATX,Mesh,45.1,2
10099,ATX Mid Tower,ATX,Tempered Glass,47,1
10100,ATX Mid Tower,ATX,Tempered Glass,49.7,1
10101,MicroATX Mini Tower,ATX,Acrylic,33.6,1
10102,MicroATX Mini Tower,ATX,Tempered Glass,33.8,2
10103,ATX Mid Tower,ATX,Tempered Glass,60.2,3
10104,MicroATX Mini Tower,ATX,Tempered Glass,34.1,1
10105,Mini ITX Tower,SFX,Mesh,24.8,0
10106,MicroATX Mini Tower,ATX,Tempered Glass,,2
10107,ATX Mid Tower,ATX,Tinted Tempered Glass,69.8,2
10108,ATX Mid Tower,ATX,,39.4,2
10109,ATX Full Tower,ATX,Tempered Glass,54,3
10110,ATX Full Tower,ATX,Acrylic,68.6,6
10111,ATX Mid Tower,ATX,,45.8,2
10112,ATX Mid Tower,ATX,Acrylic,37.7,2
10113,MicroATX Mini Tower,ATX,Acrylic,,2
10114,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10115,ATX Mid Tower,ATX,Tempered Glass,49.5,2
10116,ATX Mid Tower,ATX,,46.2,2
10117,ATX Mid Tower,ATX,Tempered Glass,37.7,2
10118,ATX Full Tower,ATX,Tempered Glass,149.1,5
10119,MicroATX Mini Tower,ATX,Tempered Glass,29.6,3
10120,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10121,Mini ITX Desktop,SFX,,,2
10122,ATX Mid Tower,ATX,Tempered Glass,44.4,2
10123,Mini ITX Tower,SFX,Mesh,16.3,0
10124,ATX Full Tower,ATX,Tempered Glass,81.8,6
10125,ATX Mid Tower,ATX,Tempered Glass,,2
10126,MicroATX Mini Tower,ATX,Tempered Glass,53,3
10127,ATX Mid Tower,ATX,Tempered Glass,52.4,2
10128,ATX Mid Tower,ATX,Tempered Glass,,2
10129,ATX Mid Tower,ATX,Tempered Glass,,2
10130,MicroATX Mini Tower,ATX,Tempered Glass,40.5,2
10131,ATX Mid Tower,ATX,Tempered Glass,57.2,4
10132,Mini ITX Desktop,SFX,Tempered Glass,19.1,1
10133,ATX Mid Tower,ATX,Tempered Glass,,2
10134,Mini ITX Desktop,SFX,,22.4,2
10135,ATX Mid Tower,ATX,Tempered Glass,66.2,2
10136,ATX Mid Tower,ATX,Acrylic,42.2,2
10137,MicroATX Mid Tower,ATX,Tempered Glass,,2
10138,ATX Mid Tower,ATX,Tempered Glass,45.3,2
10139,ATX Mid Tower,ATX,Tempered Glass,78.3,2
10140,ATX Mid Tower,ATX,,54.2,8
10141,Mini ITX Desktop,SFX,Mesh,11.1,0
10142,ATX Mid Tower,ATX,Tempered Glass,51.8,2
10143,ATX Full Tower,ATX,Mesh,61.4,2
10144,MicroATX Mini Tower,ATX,Tempered Glass,40.5,2
10145,ATX Mid Tower,ATX,Tempered Glass,41.3,2
10146,ATX Mid Tower,ATX,Mesh,45.1,2
10147,MicroATX Mini Tower,ATX,Tempered Glass,31.5,2
10148,ATX Mid Tower,ATX,Tempered Glass,,2
10149,ATX Mid Tower,ATX,Tempered Glass,47,1
10150,MicroATX Mid Tower,ATX,Tempered Glass,41.9,1
10151,MicroATX Mini Tower,ATX,,23.9,1
10152,ATX Mid Tower,ATX,Tempered Glass,48.6,2
10153,MicroATX Mini Tower,ATX,Tempered Glass,30.4,2
10154,ATX Mid Tower,ATX,Tempered Glass,81.4,4
10155,MicroATX Mini Tower,ATX,Tempered Glass,54.8,2
10156,ATX Mid Tower,ATX,Tempered Glass,63,5
10157,ATX Mid Tower,ATX,Tempered Glass,49.6,2
10158,ATX Mid Tower,ATX,Tempered Glass,41.3,2
10159,MicroATX Mini Tower,ATX,Tempered Glass,,2
10160,MicroATX Mini Tower,ATX,Tempered Glass,31.6,2
10161,MicroATX Mini Tower,ATX,,30.4,2
10162,ATX Mid Tower,ATX,Acrylic,37.8,2
10163,ATX Mid Tower,ATX,Tempered Glass,48.3,2
10164,Mini ITX Tower,SFX,,19.5,6
10165,ATX Mid Tower,ATX,Acrylic,27.5,2
10166,ATX Mid Tower,ATX,Tempered Glass,,2
10167,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10168,MicroATX Mini Tower,ATX,Tempered Glass,33,3
10169,MicroATX Mini Tower,ATX,Tempered Glass,38.8,2
10170,ATX Mid Tower,ATX,Tempered Glass,78.3,2
10171,ATX Mid Tower,ATX,Tempered Glass,40.6,2
10172,ATX Full Tower,ATX,Tempered Glass,61.4,2
10173,ATX Mid Tower,ATX,Tempered Glass,49.7,1
10174,ATX Mid Tower,ATX,Tempered Glass,65.5,4
10175,MicroATX Mini Tower,ATX,Tempered Glass,45.7,2
10176,MicroATX Mid Tower,ATX,Acrylic,41.1,10
10177,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10178,ATX Mid Tower,ATX,Tempered Glass,39.2,2
10179,ATX Mid Tower,ATX,Tempered Glass,66.2,2
10180,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10181,ATX Mid Tower,ATX,Tempered Glass,49.6,2
10182,ATX Full Tower,ATX,Tempered Glass,62.4,3
10183,ATX Mid Tower,ATX,Tinted Tempered Glass,67.8,2
10184,MicroATX Mid Tower,ATX,,36.5,2
10185,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10186,ATX Mid Tower,ATX,Tempered Glass,70.9,2
10187,ATX Mid Tower,ATX,Tempered Glass,,2
10188,ATX Mid Tower,ATX,Tempered Glass,,2
10189,MicroATX Mini Tower,ATX,Acrylic,,2
10190,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10191,ATX Mid Tower,ATX,Tempered Glass,49.7,1
10192,ATX Mid Tower,ATX,Tempered Glass,40.9,2
10193,ATX Full Tower,ATX,Tinted Tempered Glass,81.5,6
10194,ATX Mid Tower,ATX,,32.4,2
10195,ATX Mid Tower,ATX,Tempered Glass,50.6,2
10196,ATX Mid Tower,ATX,Tempered Glass,44.5,2
10197,MicroATX Mini Tower,ATX,Tempered Glass,32.8,2
10198,Mini ITX Desktop,SFX,Mesh,20.1,1
10199,ATX Mid Tower,ATX,Tempered Glass,40.6,2
10200,MicroATX Mini Tower,ATX,Tempered Glass,33.8,2
10201,ATX Mid Tower,ATX,Tempered Glass,39.7,2
10202,HTPC,,,12.8,1
10203,ATX Mid Tower,ATX,,46,2
10204,ATX Mid Tower,ATX,Tempered Glass,65.5,4
10205,MicroATX Mini Tower,ATX,,33.8,3
10206,ATX Mid Tower,ATX,Tempered Glass,41.3,2
10207,ATX Mid Tower,ATX,Tempered Glass,48.6,2
10208,MicroATX Mid Tower,ATX,Tempered Glass,41.9,1
10209,ATX Mid Tower,ATX,Tempered Glass,42.3,2
10210,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10211,Mini ITX Tower,SFX,Tempered Glass,32.7,2
10212,ATX Mid Tower,ATX,Tempered Glass,41.3,2
10213,MicroATX Mini Tower,ATX,Tempered Glass,54.8,2
10214,ATX Mid Tower,ATX,Tempered Glass,50.4,1
10215,ATX Mid Tower,ATX,,69.8,2
10216,ATX Mid Tower,ATX,Tempered Glass,36.4,2
10217,ATX Mid Tower,ATX,Tempered Glass,49.4,2
10218,ATX Full Tower,ATX,Tempered Glass,94.5,2
10219,ATX Mid Tower,ATX,Tempered Glass,45.8,2
10220,MicroATX Mini Tower,ATX,Tempered Glass,53,3
10221,ATX Full Tower,ATX,Tinted Tempered Glass,124.5,6
10222,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10223,ATX Mid Tower,ATX,Tempered Glass,44.2,4
10224,ATX Full Tower,ATX,Tempered Glass,54,3
10225,ATX Full Tower,ATX,Tempered Glass,78.9,2
10226,ATX Mid Tower,ATX,Tinted Tempered Glass,61.7,6
10227,ATX Mid Tower,ATX,,62.4,6
10228,ATX Mid Tower,ATX,Tempered Glass,45.7,1
10229,ATX Mid Tower,ATX,Tempered Glass,61.8,2
10230,Mini ITX Tower,SFX,Mesh,5.8,0
10231,ATX Mid Tower,ATX,Tempered Glass,38.2,2
10232,Mini ITX Desktop,SFX,Mesh,4.4,0
10233,ATX Full Tower,ATX,Tempered Glass,,12
10234,ATX Mid Tower,ATX,Tempered Glass,48.6,2
10235,ATX Full Tower,ATX,,82,6
10236,ATX Mid Tower,ATX,Tempered Glass,54.1,3
10237,ATX Full Tower,ATX,Tempered Glass,78.9,2
10238,MicroATX Mini Tower,ATX,Tempered Glass,54.8,2
10239,Mini ITX Desktop,SFX,Tempered Glass,20.3,2
10240,ATX Full Tower,ATX,Tempered Glass,,12
10241,MicroATX Mini Tower,ATX,Acrylic,45.6,3
10242,ATX Mid Tower,ATX,Tempered Glass,53.7,2
10243,ATX Mid Tower,ATX,Tempered Glass,44.1,2
10244,ATX Mid Tower,ATX,Tempered Glass,35,4
10245,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10246,ATX Mid Tower,ATX,Acrylic,38.4,2
10247,MicroATX Mid Tower,ATX,Tempered Glass,35.4,2
10248,ATX Mid Tower,ATX,Tempered Glass,66.2,2
10249,ATX Mid Tower,ATX,Tempered Glass,36.8,2
10250,MicroATX Mid Tower,ATX,Mesh,29.4,2
10251,MicroATX Mini Tower,ATX,Tinted Tempered Glass,38.7,2
10252,ATX Full Tower,ATX,Tempered Glass,99,3
10253,ATX Mid Tower,ATX,Tempered Glass,43.9,2
10254,MicroATX Mid Tower,ATX,Tinted Tempered Glass,33,2
10255,ATX Mid Tower,ATX,Tempered Glass,75.5,4
10256,ATX Mid Tower,ATX,Tempered Glass,49.9,3
10257,ATX Mid Tower,ATX,Tempered Glass,42.3,2
10258,ATX Mid Tower,ATX,Tempered Glass,44.4,2
10259,ATX Mid Tower,ATX,Tempered Glass,41.7,2
10260,MicroATX Mini Tower,ATX,Acrylic,30.4,2
10261,ATX Mid Tower,ATX,Tempered Glass,49.5,2
10262,MicroATX Mid Tower,ATX,Tempered Glass,39.7,2
10263,Mini ITX Tower,SFX,Tempered Glass,45.1,2
10264,ATX Mid Tower,ATX,Tinted Tempered Glass,69.8,2
10265,ATX Mid Tower,ATX,Tempered Glass,50.6,2
10266,Mini ITX Tower,SFX,Mesh,24.8,0
10267,ATX Full Tower,ATX,Tinted Tempered Glass,83.5,2
10268,ATX Mid Tower,ATX,,40.6,2
10269,MicroATX Mini Tower,ATX,Tempered Glass,28.2,2
10270,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10271,ATX Mid Tower,ATX,Tempered Glass,,2
10272,ATX Mid Tower,ATX,Tempered Glass,78.3,2
10273,MicroATX Mid Tower,ATX,Mesh,29.4,2
10274,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10275,Mini ITX Desktop,SFX,Acrylic,22.4,2
10276,ATX Mid Tower,ATX,Tempered Glass,38.9,4
10277,ATX Mid Tower,ATX,Tempered Glass,45.7,1
10278,MicroATX Mini Tower,ATX,,9.6,0
10279,Mini ITX Desktop,SFX,Tempered Glass,17.5,0
10280,ATX Full Tower,ATX,Tempered Glass,81.8,6
10281,ATX Full Tower,ATX,Tempered Glass,62.7,2
10282,Mini ITX Desktop,SFX,,18.2,8
10283,ATX Mid Tower,ATX,Tempered Glass,63,5
10284,ATX Full Tower,ATX,Acrylic,,4
10285,MicroATX Mid Tower,ATX,Tempered Glass,,2
10286,Mini ITX Tower,SFX,Mesh,24.8,0
10287,ATX Mid Tower,ATX,Tempered Glass,49.5,2
10288,MicroATX Mini Tower,ATX,,24,2
10289,ATX Mid Tower,ATX,Tempered Glass,36.1,2
10290,Mini ITX Tower,SFX,Tempered Glass,34.6,1
10291,MicroATX Mini Tower,ATX,Tempered Glass,,2
10292,ATX Mid Tower,ATX,Tempered Glass,34.1,2
10293,Mini ITX Tower,SFX,Mesh,,1
10294,ATX Full Tower,ATX,,,12
10295,MicroATX Mini Tower,ATX,,47.9,2
10296,ATX Mid Tower,ATX,Tempered Glass,37.3,2
10297,ATX Full Tower,ATX,Tempered Glass,68.9,4
10298,MicroATX Mini Tower,ATX,Tinted Tempered Glass,36.6,1
10299,ATX Mid Tower,ATX,Tempered Glass,34.2,2
10300,ATX Mid Tower,ATX,Tempered Glass,65.5,4
10301,MicroATX Mini Tower,ATX,Tempered Glass,31.3,1
10302,ATX Full Tower,ATX,Mesh,61.4,2
10303,ATX Mini Tower,ATX,Mesh,14.9,0
10304,ATX Mid Tower,ATX,Tempered Glass,48.3,2
10305,MicroATX Mid Tower,ATX,Tempered Glass,36.1,2
10306,ATX Mid Tower,ATX,Tempered Glass,43,2
10307,ATX Mid Tower,ATX,Tempered Glass,41.7,2
10308,MicroATX Mini Tower,ATX,Mesh,15.9,1
10309,ATX Mid Tower,ATX,Tempered Glass,,2
10310,ATX Mid Tower,ATX,Tempered Glass,44.4,2
10311,ATX Mid Tower,ATX,Tempered Glass,44.7,2
10312,ATX Full Tower,ATX,Tinted Tempered Glass,69.1,6
10313,MicroATX Mini Tower,ATX,Tempered Glass,,2
10314,ATX Mid Tower,ATX,Tempered Glass,41.3,2
10315,ATX Mid Tower,ATX,,40.2,7
10316,MicroATX Mid Tower,ATX,,,3
10317,ATX Mid Tower,ATX,Tempered Glass,74.5,2
10318,ATX Mid Tower,ATX,Tempered Glass,44.4,2
10319,ATX Mid Tower,ATX,Tempered Glass,33.4,2
10320,MicroATX Mini Tower,ATX,Tempered Glass,40.9,2
10321,ATX Mid Tower,ATX,Tempered Glass,39.7,2
10322,ATX Mid Tower,ATX,Tempered Glass,83.8,3
10323,ATX Mid Tower,ATX,Tempered Glass,60.5,2
10324,ATX Mid Tower,ATX,Tempered Glass,41.9,2
10325,ATX Mid Tower,ATX,,37.8,3
10326,MicroATX Mini Tower,ATX,Tempered Glass,31.3,1
10327,ATX Mid Tower,ATX,Tempered Glass,48.9,2
10328,ATX Mid Tower,ATX,Tempered Glass,47.3,4
10329,ATX Mid Tower,ATX,Tempered Glass,36.5,2
10330,ATX Mid Tower,ATX,Tempered Glass,39.5,2
10331,ATX Mid Tower,ATX,Tempered Glass,53.9,1
10332,ATX Mid Tower,ATX,Acrylic,,2
10333,ATX Mid Tower,ATX,Tempered Glass,,2
10334,ATX Full Tower,ATX,,62.4,3
10335,ATX Mid Tower,ATX,Tempered Glass,54.1,3
10336,ATX Mid Tower,ATX,,61.7,6
10337,ATX Mid Tower,ATX,Acrylic,42.2,2
10338,ATX Mid Tower,ATX,Tempered Glass,31.1,2
10339,ATX Mid Tower,ATX,,46.2,2
10340,ATX Mid Tower,ATX,Tempered Glass,45.8,2
10341,ATX Mid Tower,ATX,Acrylic,33.8,1
10342,ATX Mid Tower,ATX,Tinted Tempered Glass,46.7,1
10343,ATX Mid Tower,ATX,Tempered Glass,66.2,2
10344,ATX Full Tower,ATX,Tempered Glass,127.6,8
10345,Mini ITX Desktop,SFX,,10.4,0
10346,MicroATX Desktop,ATX,Tempered Glass,25.3,1
10347,ATX Mini Tower,ATX,Mesh,14.9,0
10348,ATX Mid Tower,ATX,,46.7,1
10349,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10350,ATX Mid Tower,ATX,Acrylic,42.2,2
10351,ATX Mid Tower,ATX,Tempered Glass,39.4,2
10352,ATX Mid Tower,ATX,Tempered Glass,,3
10353,MicroATX Mid Tower,ATX,Tempered Glass,,2
10354,Mini ITX Tower,SFX,,11.5,1
10355,ATX Mid Tower,ATX,Tempered Glass,47.6,2
10356,ATX Full Tower,ATX,Tempered Glass,81.8,6
10357,ATX Mid Tower,ATX,Acrylic,37.5,2
10358,Mini ITX Desktop,SFX,Tempered Glass,14.5,0
10359,ATX Mid Tower,ATX,Tempered Glass,41.7,2
10360,Mini ITX Tower,SFX,Tinted Tempered Glass,34.6,1
10361,ATX Mid Tower,ATX,Tempered Glass,48.6,2
10362,ATX Mid Tower,ATX,,42.7,2
10363,ATX Mid Tower,ATX,Tempered Glass,47.6,2
10364,ATX Mid Tower,ATX,,42.3,2
10365,ATX Mid Tower,ATX,Tempered Glass,101.1,2
10366,HTPC,,,11,0
10367,MicroATX Mini Tower,ATX,Tempered Glass,32.7,2
10368,Mini ITX Desktop,SFX,,11.1,5
10369,ATX Mid Tower,ATX,Tempered Glass,69.8,2
10370,ATX Mid Tower,ATX,Tempered Glass,,2
10371,ATX Mid Tower,ATX,Tempered Glass,,2
10372,MicroATX Mid Tower,ATX,Tempered Glass,,2
10373,ATX Full Tower,ATX,Tempered Glass,68.9,4
10374,MicroATX Mid Tower,ATX,Tempered Glass,26.5,1
10375,ATX Mid Tower,ATX,Tempered Glass,38.2,2
10376,ATX Mid Tower,ATX,,50.9,3
10377,ATX Full Tower,ATX,Tempered Glass,99,3
10378,ATX Mid Tower,ATX,Tempered Glass,38.9,4
10379,ATX Mid Tower,ATX,Tempered Glass,45.8,2
10380,ATX Mid Tower,ATX,Tempered Glass,41.6,2
10381,ATX Mid Tower,ATX,Tempered Glass,44.9,2
10382,MicroATX Mid Tower,ATX,Acrylic,,1
10383,MicroATX Mid Tower,ATX,Tempered Glass,35.4,2
10384,ATX Mid Tower,ATX,Tempered Glass,45.9,2
10385,ATX Mid Tower,ATX,Tempered Glass,37.2,1
10386,Mini ITX Tower,SFX,Mesh,14.7,0
10387,ATX Full Tower,ATX,,68.6,6
10388,Mini ITX Tower,SFX,Mesh,,1
10389,ATX Mid Tower,ATX,Tempered Glass,57.2,4
10390,ATX Mid Tower,ATX,Acrylic,39.4,2
10391,ATX Mid Tower,ATX,Tinted Tempered Glass,61.7,6
10392,ATX Full Tower,ATX,Tempered Glass,153.6,6
10393,ATX Mid Tower,ATX,Tempered Glass,,2
10394,ATX Mid Tower,ATX,Tempered Glass,39.5,2
10395,ATX Mid Tower,ATX,Tempered Glass,78.3,2
10396,ATX Mid Tower,ATX,Tempered Glass,41.3,3
10397,ATX Mid Tower,ATX,Tempered Glass,49.6,2
10398,ATX Full Tower,ATX,Tempered Glass,75.2,5
10399,Mini ITX Desktop,SFX,,7.5,0
10400,MicroATX Mini Tower,ATX,Acrylic,36.4,2
10401,ATX Mid Tower,ATX,,36.6,2
10402,Mini ITX Desktop,SFX,Tempered Glass,23.8,1
10403,ATX Full Tower,ATX,Tinted Tempered Glass,82,6
10404,MicroATX Mini Tower,ATX,Tempered Glass,44,2
10405,ATX Full Tower,ATX,Tempered Glass,86.7,15
10406,ATX Mid Tower,ATX,Tempered Glass,,2
10407,ATX Mid Tower,ATX,Tempered Glass,38.2,2
10408,ATX Mid Tower,ATX,Tempered Glass,49.6,2
10409,MicroATX Mini Tower,ATX,Tempered Glass,54.8,2
10410,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10411,ATX Mid Tower,ATX,Tempered Glass,35.4,1
10412,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10413,MicroATX Mini Tower,ATX,Tempered Glass,34.6,2
10414,ATX Mid Tower,ATX,Tempered Glass,36.4,2
10415,ATX Mid Tower,ATX,Tempered Glass,37.2,1
10416,ATX Mid Tower,ATX,,42.8,3
10417,ATX Mid Tower,ATX,,42.5,2
10418,ATX Mid Tower,ATX,Tempered Glass,66.2,2
10419,ATX Mid Tower,ATX,,83.8,3
10420,ATX Mid Tower,ATX,Tempered Glass,37.5,2
10421,ATX Mid Tower,ATX,Tempered Glass,37.6,2
10422,ATX Mid Tower,ATX,,,8
10423,ATX Mid Tower,ATX,Tempered Glass,44.1,2
10424,Mini ITX Desktop,SFX,,12.7,5
10425,ATX Full Tower,ATX,Tempered Glass,127.6,8
10426,ATX Mid Tower,ATX,Tempered Glass,35.4,2
10427,MicroATX Mini Tower,ATX,Tempered Glass,46.2,2
10428,ATX Mid Tower,ATX,Tempered Glass,36.5,2
10429,ATX Mid Tower,ATX,Tempered Glass,33.2,2
10430,MicroATX Mid Tower,ATX,Tempered Glass,39.7,2
10431,MicroATX Mini Tower,ATX,Tinted Tempered Glass,36.6,2
10432,ATX Full Tower,ATX,Tempered Glass,83.5,2
10433,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10434,ATX Mid Tower,ATX,Tempered Glass,93.9,8
10435,ATX Mid Tower,ATX,Tempered Glass,37.3,2
10436,ATX Mid Tower,ATX,Tempered Glass,70.9,2
10437,ATX Mid Tower,ATX,Tempered Glass,50.6,2
10438,ATX Mid Tower,ATX,Tempered Glass,43.5,2
10439,ATX Mid Tower,ATX,Tempered Glass,41.3,2
10440,MicroATX Mid Tower,ATX,Tempered Glass,35.4,2
10441,MicroATX Mini Tower,ATX,Tempered Glass,26.6,1
10442,ATX Mid Tower,ATX,Tempered Glass,46,2
10443,ATX Mid Tower,ATX,Tempered Glass,49.5,2
10444,MicroATX Mini Tower,ATX,Tempered Glass,32,2
10445,MicroATX Mini Tower,ATX,Acrylic,,2
10446,ATX Mid Tower,ATX,Tempered Glass,52.4,2
10447,ATX Mid Tower,ATX,Tempered Glass,65.5,4
10448,ATX Mid Tower,ATX,Acrylic,42.2,2
10449,ATX Full Tower,ATX,Tempered Glass,72.7,2
10450,ATX Mid Tower,ATX,Tempered Glass,61.7,6
10451,ATX Mid Tower,ATX,Tempered Glass,41.9,2
10452,ATX Mid Tower,ATX,Tempered Glass,49.6,2
10453,ATX Mid Tower,ATX,Tempered Glass,54.1,3
10454,ATX Mid Tower,ATX,Tempered Glass,45.5,2
10455,Mini ITX Tower,SFX,,11.5,1
10456,MicroATX Mid Tower,ATX,Tempered Glass,38.5,2
10457,Mini ITX Desktop,SFX,,10.7,1
10458,Mini ITX Desktop,SFX,Mesh,15.9,0
10459,ATX Mid Tower,ATX,Tempered Glass,58.6,4
10460,ATX Mid Tower,ATX,Tempered Glass,35,4
10461,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10462,MicroATX Mini Tower,ATX,Tempered Glass,31.3,1
10463,ATX Mid Tower,ATX,Tempered Glass,73.5,3
10464,MicroATX Mini Tower,ATX,Tempered Glass,34.6,2
10465,ATX Mid Tower,ATX,Tempered Glass,41.3,2
