model_no,RPM_low,RMP_high,noise_level,water_cooled
20577,750,1800,29.6,true
20578,600,2400,38.71,true
20579,300,1500,28.6,false
20580,0,0,33.8,true
20581,500,2000,33.2,true
20582,500,2000,32.2,true
20583,500,1500,33,true
20584,500,2000,29.85,false
20585,500,1800,30,true
20586,250,1400,0,false
20587,900,2000,20,false
20588,400,1400,21.1,false
20589,1500,1500,26.8,false
20590,500,2000,25.8,true
20591,2500,2500,27.3,false
20592,500,2000,33.2,true
20593,650,2000,30,true
20594,500,3000,0,false
20595,1800,1800,0,false
20596,500,1200,31.5,false
20597,500,2000,36,true
20598,700,1800,35.2,true
20599,900,2300,30.5,false
20600,950,2150,31,true
20601,1500,1500,28.2,true
20602,500,2000,32.6,true
20603,600,2200,36.45,true
20604,500,1850,24.2,false
20605,500,2000,29.9,true
20606,200,1700,0,false
20607,500,1800,26.8,false
20608,500,1650,0,false
20609,900,2000,26.5,false
20610,500,2100,31.6,false
20611,600,1200,20.5,false
20612,0,0,34.3,true
20613,500,1600,27,true
20614,0,0,30,true
20615,500,1700,35.5,true
20616,120,1500,24.6,false
20617,450,2000,29.7,true
20618,400,1400,34.2,false
20619,500,1850,29,false
20620,0,0,24.9,true
20621,0,0,0,true
20622,2150,2150,27,true
20623,650,2000,30,true
20624,700,1800,37.2,false
20625,250,1500,0,false
20626,500,2000,32.6,true
20627,250,1500,0,false
20628,700,1500,30.5,false
20629,1750,1750,20,false
20630,2435,2435,37.7,true
20631,650,1800,27,false
20632,500,1800,30,true
20633,600,2200,35.6,true
20634,500,1500,30.5,true
20635,600,2200,26.4,false
20636,300,0800,14.5,false
20637,2150,2150,28.1,true
20638,500,1850,24.4,false
20639,650,1400,27,false
20640,300,2000,26.88,false
20641,500,2200,33.1,true
20642,800,1900,32,true
20643,250,1800,0,false
20644,250,1400,0,false
20645,800,1800,28.6,false
20646,900,2000,33.5,true
20647,0,0,31.5,true
20648,300,1500,22.4,false
20649,500,2000,23.6,false
20650,800,1900,0,true
20651,2150,2150,27,true
20652,800,2500,37.6,true
20653,500,1800,34.7,true
20654,0,0,38,false
20655,0,0,36,true
20656,500,1800,34.7,true
20657,600,2000,31,false
20658,500,2000,23.6,false
20659,800,1800,28.6,false
20660,300,1800,27.8,false
20661,700,1800,28,false
20662,450,2600,36.4,true
20663,1850,1850,29.6,false
20664,300,2000,0,false
20665,600,1600,31,false
20666,900,1800,21,false
20667,2400,2400,37,true
20668,1200,1200,20.4,true
20669,500,1500,26.6,false
20670,2000,2000,30,false
20671,1500,1500,28.2,true
20672,250,1800,0,true
20673,500,2000,33.5,false
20674,1500,1500,28.2,true
20675,500,1350,22.5,true
20676,2000,2000,29,true
20677,500,2000,29.9,true
20678,400,2300,40,false
20679,500,1600,27,true
20680,500,1500,30.5,false
20681,800,1800,26,false
20682,300,1500,28.6,false
20683,0,0,35,true
20684,600,2000,31.24,true
20685,650,2000,30,true
20686,1500,1500,25.6,false
20687,700,1800,35.2,false
20688,500,1800,25.8,true
20689,2000,2000,22.1,true
20690,500,1700,35.5,true
20691,600,2000,29,false
20692,450,2000,29.7,true
20693,600,1500,0,true
20694,120,2500,26,false
20695,500,2000,29.9,false
20696,600,2500,33,false
20697,900,1800,30,true
20698,1400,1400,23.7,false
20699,1500,1500,28.2,true
20700,250,1800,0,true
20701,500,2000,30.7,true
20702,500,2000,34.7,true
20703,2000,2000,28.2,true
20704,500,1600,24,false
20705,2300,2300,44.4,true
20706,800,1600,35,true
20707,200,2100,28,false
20708,600,1400,26,false
20709,0,0,34.3,true
20710,500,1800,32.1,true
20711,0,0,30.5,false
20712,2700,2700,22.4,false
20713,2000,2000,22.1,true
20714,2200,2200,30,true
20715,250,1500,0,false
20716,500,1500,23.9,true
20717,700,1800,35.2,true
20718,200,1800,0,true
20719,900,2000,33.5,true
20720,500,2000,32.7,true
20721,250,1400,0,false
20722,600,1600,31,false
20723,2000,2000,34,true
20724,750,1800,29.6,true
20725,700,2200,29,false
20726,100,2000,0,false
20727,2000,2000,40,true
